Role,Player name,Rank,Win rate(%),Wins / losses
Top,xxaznpuppy32xx,Platinum IV - 27 LP,56.8%,130 / 99
Mid,whygar player,Gold I - 37 LP,51.6%,98 / 92
Top,thegamingzebra,Platinum IV - 16 LP,56.5%,96 / 74
ADC,sola,Gold I - 53 LP,49.7%,94 / 95
Support,owl city,Platinum IV - 25 LP,57.3%,126 / 94
ADC,mind,Gold I - 57 LP,52.1%,99 / 91
ADC,lilcutiepaipee,Gold I - 97 LP,55.9%,113 / 89
Jungle,jekedeke,Platinum IV - 20 LP,59%,95 / 66
Support,i love warding,Gold I - 46 LP,53.1%,86 / 76
Mid,creative mind,Platinum IV - 52 LP,55.6%,119 / 95
Jungle,chef,Gold I - 69 LP,52.7%,108 / 97
ADC,argalon7997,Gold I - 45 LP,55.4%,113 / 91
Top,allee,Platinum IV - 9 LP,53.2%,99 / 87
ADC,XBOCT,Gold I - 44 LP,49.1%,82 / 85
Mid,WoO0oW,Platinum IV - 44 LP,54.1%,111 / 94
Top,Tierney,Gold I - 54 LP,56%,75 / 59
Jungle,TheWoods,Platinum IV - 9 LP,59.1%,107 / 74
Top,TheBausSpecial,Platinum IV - 12 LP,52.8%,113 / 101
Jungle,TarzanFaker,Gold I - 67 LP,47.9%,92 / 100
Mid,Tap,Platinum IV - 55 LP,56.3%,107 / 83
ADC,TPOPIS,Platinum IV - 10 LP,49.3%,103 / 106
Top,TDA Brokenrelic,Platinum IV - 67 LP,54.7%,105 / 87
Support,TDA Bloxx,Gold I - 61 LP,51.9%,111 / 103
ADC,T1 T1,Gold I - 58 LP,54.1%,118 / 100
Jungle,Superb,Platinum IV - 41 LP,64.8%,79 / 43
Support,Straitéis,Platinum IV - 10 LP,61.5%,88 / 55
Jungle,Sparrow,Gold I - 38 LP,54%,109 / 93
Top,Smug Egirl Owo,Platinum IV - 46 LP,55.3%,114 / 92
Top,SmackyB,Gold I - 58 LP,51.9%,112 / 104
Top,Sioux,Gold I - 85 LP,47.4%,99 / 110
Top,SUPER TOP,Platinum IV - 33 LP,56.3%,130 / 101
Top,SS Flandre,Platinum IV - 38 LP,55.9%,109 / 86
Support,Rookie,Platinum IV - 70 LP,55.8%,116 / 92
ADC,Rikish,Gold I - 61 LP,52.9%,110 / 98
Support,Rexlator,Gold I - 55 LP,46%,93 / 109
Support,Redman,Platinum IV - 62 LP,55.8%,134 / 106
Support,Rashid,Gold I - 70 LP,48.8%,106 / 111
Top,Randomsmeker1234,Platinum IV - 35 LP,54.5%,115 / 96
Top,Raleigh Obelisk,Platinum IV - 42 LP,54%,108 / 92
ADC,RNG Uzi,Gold I - 55 LP,54.2%,104 / 88
Support,RNG Ming,Platinum IV - 28 LP,56.2%,113 / 88
ADC,PvM,Platinum IV - 60 LP,52.9%,100 / 89
ADC,Pokimane,Platinum IV - 7 LP,55.8%,110 / 87
ADC,Perkz,Platinum IV - 73 LP,51.8%,118 / 110
Jungle,PepeHands,Gold I - 75 LP,51.2%,87 / 83
Support,Nymph,Platinum IV - 45 LP,63.8%,111 / 63
ADC,No CS,Gold I - 59 LP,52%,105 / 97
Jungle,Neferpitou,Gold I - 74 LP,52.9%,109 / 97
Mid,NULL,Platinum IV - 1 LP,50.2%,105 / 104
Top,MrBochka,Platinum IV - 16 LP,55.6%,115 / 92
Top,Moleman,Platinum IV - 1 LP,61.2%,74 / 47
Top,Metallkopf,Platinum IV - 53 LP,60.2%,80 / 53
Top,Malakkar,Platinum IV - 22 LP,60.1%,92 / 61
Top,MJay,Gold I - 51 LP,54.2%,103 / 87
Jungle,Luv Email,Platinum III - 2 LP,60.8%,87 / 56
Mid,Loosius,Gold I - 64 LP,49.1%,109 / 113
Jungle,Layla,Gold I - 59 LP,56%,84 / 66
Jungle,LIL PUMP ESKETIT,Platinum IV - 69 LP,51.8%,117 / 109
Top,L.Leg of Cauw,Gold I - 45 LP,56.4%,84 / 65
Jungle,L.Arm of Cauw,Gold I - 49 LP,51.3%,80 / 76
Support,Kutcher,Gold I - 96 LP,57.1%,105 / 79
ADC,Kudor88888882141,Gold I - 73 LP,52.3%,114 / 104
Jungle,Kong,Gold I - 40 LP,66.2%,51 / 26
ADC,Kogglemoggle,Platinum IV - 68 LP,54.1%,120 / 102
Jungle,Kazuma,Platinum IV - 11 LP,48%,83 / 90
Jungle,Kasanova,Platinum IV - 3 LP,49.5%,100 / 102
Jungle,Jinxnator,Gold I - 45 LP,61.4%,54 / 34
Support,JhinSuppNoTroll,Platinum IV - 10 LP,59.7%,80 / 54
ADC,Japan,Gold I - 81 LP,54.9%,89 / 73
Support,JANNA PLAYER :3,Gold I - 38 LP,48.2%,92 / 99
ADC,Ikaros,Gold I - 43 LP,52.7%,106 / 95
