Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Nautilus,2,2,740,508,0,0,0,0,88,76
Skarner,0,0,547,446,0,0,0,0,0,0
Jarvan IV,0,0,0,2,0,0,0,0,0,0
Dr. Mundo,3,6,0,0,0,0,724,601,0,0
Cho'Gath,401,347,0,0,0,0,261,233,34,42
Yasuo,9,9,0,0,0,0,4,4,0,0
Kai'Sa,0,0,0,0,0,0,1,2,0,0
Camille,604,474,0,0,0,0,0,0,0,0
Quinn,29,36,0,0,0,0,0,0,0,0
Karthus,186,121,104,131,775,495,877,624,22,15
Ahri,2,2,0,0,629,572,28,22,0,0
Draven,3,2,0,0,0,0,89,99,0,0
Malphite,344,265,0,0,581,488,0,2,516,520
Kassadin,203,161,0,0,195,223,0,0,0,0
Xerath,0,0,0,0,4,4,0,0,0,0
Sona,0,0,0,0,0,2,30,34,8,8
Sejuani,0,0,168,146,0,0,0,0,285,189
Lulu,0,0,0,0,4,3,0,0,7,9
Rakan,0,0,0,0,0,0,0,0,669,563
Shen,0,0,284,241,0,0,89,81,460,399
Senna,0,0,0,0,0,0,37,51,83,91
Thresh,0,0,0,0,0,0,0,0,148,148
Pyke,10,2,0,0,0,2,0,0,399,344
Leona,0,1,0,0,0,0,0,0,40,33
Rammus,2,9,0,0,0,0,8,12,2,3
Poppy,218,208,0,0,0,0,0,0,4,0
Maokai,2,5,0,0,0,0,0,0,0,3
Braum,0,0,0,0,0,0,48,58,488,461
Bard,0,0,0,0,0,0,0,0,190,168
Volibear,0,0,176,164,76,58,0,0,0,0
Ekko,36,51,1,1,220,178,0,0,0,0
Renekton,0,3,0,0,0,0,1,3,0,0
Irelia,0,4,0,0,63,65,0,1,0,0
Kennen,1,0,0,0,0,0,0,0,0,0
Nasus,0,1,0,0,0,0,62,44,0,0
Riven,16,13,0,0,0,0,0,0,0,0
Talon,0,0,0,0,164,154,0,0,0,0
Galio,439,399,0,0,192,189,0,0,0,7
Vel'Koz,0,0,0,0,0,0,0,0,0,1
Zac,0,0,138,141,0,0,0,0,0,0
Kindred,0,0,1,1,0,0,0,0,0,0
Lee Sin,0,0,9,3,0,0,0,0,0,0
Zed,0,0,0,0,110,99,0,0,0,0
Karma,158,170,0,0,214,220,0,0,38,55
Tryndamere,80,58,0,0,0,0,0,0,0,0
Master Yi,380,326,76,72,0,0,0,0,0,0
Kayle,2,4,0,0,0,0,0,0,0,0
Varus,1,1,0,0,0,0,26,32,0,0
Illaoi,120,128,0,0,0,0,0,0,0,0
Urgot,194,169,0,0,5,1,445,384,26,25
Vladimir,2,0,0,0,30,45,129,96,0,0
Nunu,0,0,28,28,2,2,0,0,0,0
Diana,0,0,0,0,0,3,0,0,0,0
Sion,0,0,0,0,0,0,215,195,0,0
Nidalee,0,0,123,121,0,0,22,13,0,0
Ornn,366,327,0,0,0,0,0,0,1,1
Janna,0,0,0,0,0,0,0,0,0,1
Ryze,10,11,0,0,3,9,158,138,0,0
Alistar,0,0,0,0,0,0,13,8,208,196
Trundle,0,0,0,0,0,0,140,141,0,0
Cassiopeia,0,0,0,0,1,0,2,5,0,0
Soraka,2,4,0,0,0,0,0,0,2,0
Darius,74,69,0,0,0,0,182,207,28,30
Aatrox,0,4,0,0,12,16,0,0,0,0
Katarina,0,0,0,0,8,11,0,0,0,0
LeBlanc,2,7,0,0,2,1,0,0,0,0
Wukong,0,0,0,0,0,0,148,149,0,0
Aphelios,0,0,0,0,0,0,48,74,0,0
Xayah,0,0,0,0,1,1,13,19,0,0
Ashe,0,0,0,0,0,0,24,66,0,0
Vayne,0,0,0,0,0,0,9,10,0,0
Elise,0,0,57,54,0,0,0,0,0,0
Azir,0,0,0,0,2,0,0,0,0,0
Qiyana,0,0,0,0,0,1,0,0,0,0
Aurelion Sol,0,0,0,0,2,3,0,0,0,0
Blitzcrank,0,0,0,0,0,0,0,0,57,52
Udyr,0,0,165,151,0,0,0,0,0,0
Nocturne,0,0,0,1,0,0,0,0,0,0
Pantheon,0,0,0,0,0,0,99,90,0,0
Garen,215,198,0,0,0,0,153,154,0,0
Fiora,0,4,0,0,0,0,0,0,0,0
Annie,0,0,0,0,0,0,193,154,0,0
Veigar,0,0,0,0,73,69,0,0,0,0
Gangplank,0,1,0,0,0,0,0,0,0,0
Tahm Kench,0,0,0,0,0,0,0,0,1,1
Orianna,0,0,0,0,38,67,0,0,0,0
Twisted Fate,0,0,0,0,0,2,0,0,0,0
Jayce,0,1,0,0,0,0,0,0,0,0
Malzahar,0,0,0,0,1,3,0,0,0,0
Akali,1,0,0,0,1,2,0,0,0,0
Sylas,1,0,0,0,0,0,0,0,0,0
Ezreal,0,0,0,0,0,0,4,4,0,0
Caitlyn,0,0,0,0,0,0,4,3,0,0
Jhin,0,0,0,0,0,0,3,3,0,0
Lucian,0,0,0,0,0,0,0,1,0,0
Sett,5,5,0,0,72,65,0,0,130,122
Miss Fortune,0,0,0,0,0,0,0,4,0,0
Neeko,0,0,0,0,0,0,1,0,0,1
Yuumi,0,0,0,0,0,0,0,0,0,1
Swain,22,26,0,0,0,0,0,0,0,0
