Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Karthus,60,70,10,30,10,20,10,1
Pyke,40,10,40,10,50,50,40,5
Karma,30,55,10,30,30,80,30,2
Rakan,10,30,10,10,50,60,90,1
Senna,20,70,70,20,40,60,10,6
Galio,20,60,20,60,10,60,30,2
Malphite,60,60,10,70,10,50,20,1
Aphelios,20,50,90,30,50,70,10,9
Zac,10,10,10,40,60,40,80,1
Udyr,10,10,60,60,30,50,55,1
Irelia,50,10,65,40,10,60,60,9
Shen,10,10,30,70,20,70,40,1
Skarner,10,10,50,80,20,50,50,1
Graves,50,20,70,10,10,20,30,5
Yasuo,40,10,80,20,10,50,70,9
Sona,30,70,10,10,60,40,30,2
Xayah,60,20,80,30,10,50,20,5
Illaoi,50,60,40,60,50,20,10,1
Ashe,10,50,60,10,10,60,10,2
Caitlyn,40,50,90,10,10,30,20,5
Ornn,30,20,30,80,10,70,40,2
Nautilus,40,20,20,60,20,90,30,2
Yuumi,10,40,10,10,70,60,80,2
Tryndamere,30,10,90,10,60,20,60,1
Thresh,20,10,20,40,20,70,20,7
Bard,60,10,30,10,30,50,50,2
Nidalee,70,70,10,10,50,10,60,8
Sejuani,40,10,20,80,20,70,30,2
Singed,10,10,10,70,70,30,50,1
Miss Fortune,50,80,40,10,10,20,20,3
Orianna,60,60,10,20,10,30,20,3
Camille,40,20,60,40,20,60,50,3
Nunu,50,10,10,70,70,50,40,1
Ivern,10,20,20,20,10,80,20,3
Lee Sin,70,10,50,30,10,20,50,9
Janna,10,50,10,20,50,90,50,3
Blitzcrank,30,10,10,50,10,30,20,2
Xerath,30,90,10,25,10,30,10,5
Riven,50,10,70,15,10,60,80,6
Vayne,50,10,70,10,10,20,50,6
Ezreal,40,60,70,10,10,10,70,5
Sett,30,10,50,60,10,70,30,2
Braum,10,20,10,70,10,90,30,1
Brand,50,70,10,10,10,20,10,1
Taric,10,10,20,50,40,80,10,3
Ahri,70,60,10,10,40,20,60,4
Master Yi,10,10,80,10,40,10,70,1
Hecarim,20,10,50,50,20,40,60,5
Ryze,70,50,70,30,20,60,30,8
Alistar,20,20,10,90,30,60,40,1
Varus,40,50,70,10,10,30,10,5
Volibear,40,10,40,40,50,50,40,2
Dr. Mundo,30,40,40,80,60,20,10,1
Veigar,70,30,10,10,10,30,10,2
Azir,50,20,50,20,10,20,40,7
Poppy,20,10,30,90,10,70,30,1
Urgot,20,50,50,50,10,30,20,2
Draven,60,10,90,10,10,10,20,7
Zoe,80,30,10,10,10,20,20,6
Rek'Sai,30,20,50,20,40,20,50,3
Leona,10,10,20,80,20,90,20,1
Evelynn,90,10,10,10,30,20,40,3
Fiora,20,10,50,20,30,20,40,3
Warwick,10,10,40,50,70,50,50,1
Jinx,30,30,80,10,10,20,20,3
Zilean,50,70,10,10,10,60,30,3
Sion,50,40,50,60,10,50,20,1
