Name,Burst,Poke,Basic Attacks,Tank,Sustain,Utility,Mobility,Difficulty
Ahri,70,60,10,10,40,20,60,4
Karthus,60,70,10,30,10,20,10,1
Renekton,50,10,40,50,40,30,30,2
Bard,60,10,30,10,30,50,50,2
Ekko,70,20,20,20,40,30,40,2
Pyke,40,10,40,10,50,50,40,5
Nautilus,20,20,20,70,20,70,30,2
Neeko,60,60,60,10,10,50,30,4
Blitzcrank,30,10,10,50,10,30,20,2
Sejuani,40,10,20,80,20,70,30,2
Nunu,50,10,10,70,70,50,40,1
Volibear,40,10,40,40,50,50,40,2
Sett,30,10,50,60,10,70,30,2
Shen,10,10,30,70,20,70,40,1
Poppy,20,10,30,90,10,70,30,1
Kai'Sa,70,20,70,10,10,10,40,5
Pantheon,50,40,50,60,10,30,30,4
Kassadin,70,30,10,30,10,20,60,3
Akali,80,20,50,10,20,10,70,8
Cho'Gath,50,20,20,60,40,40,10,2
Ornn,30,20,30,80,10,70,40,2
Ezreal,40,60,70,10,10,10,70,5
Zac,10,10,10,50,60,40,60,1
Rakan,10,30,10,10,50,60,90,1
Aphelios,20,50,90,30,50,70,10,9
Garen,40,10,60,70,40,20,20,1
LeBlanc,60,60,10,10,10,20,70,4
Maokai,20,10,10,70,40,80,10,2
Aatrox,30,20,50,20,50,40,30,3
Zed,50,30,50,10,10,10,50,6
Galio,20,60,20,60,10,60,30,2
Xayah,60,20,80,30,10,50,20,5
Zoe,80,30,10,10,10,20,20,6
Dr. Mundo,30,40,40,70,60,20,10,1
Ashe,10,50,60,10,10,60,10,2
Quinn,60,20,50,10,10,30,60,4
Caitlyn,40,50,90,10,10,30,20,5
Swain,40,50,50,30,60,30,20,3
Alistar,20,20,10,90,30,60,40,1
Vladimir,40,20,10,20,80,20,20,1
Qiyana,60,20,40,10,10,70,60,6
Camille,40,20,60,40,20,60,50,3
Leona,10,10,20,80,20,90,20,1
Thresh,20,10,20,40,20,70,20,7
Mordekaiser,30,30,30,50,50,40,10,2
Twitch,50,10,70,10,10,20,20,5
Miss Fortune,50,80,40,10,10,20,20,3
Wukong,60,10,50,20,10,30,30,2
Riven,50,10,70,15,10,60,80,6
Yasuo,40,10,80,20,10,50,70,9
Lee Sin,70,10,50,30,10,20,50,9
Syndra,70,60,10,10,10,20,10,2
Udyr,10,10,60,60,30,50,55,1
Braum,10,20,10,70,10,90,30,1
Vi,20,10,50,30,10,60,50,2
Talon,80,20,30,10,10,10,80,4
Malphite,60,40,10,70,10,50,20,1
Singed,10,10,10,70,70,30,50,1
Ivern,10,20,20,20,10,80,20,3
Vayne,50,10,70,10,10,20,50,6
Warwick,10,10,40,50,70,50,50,1
Jhin,60,40,50,10,10,30,10,6
Katarina,70,40,20,10,20,10,70,5
Karma,30,55,10,30,30,80,30,2
Jarvan IV,30,20,50,30,10,40,40,3
Tristana,60,10,70,10,10,30,30,2
Zilean,50,70,10,10,10,60,30,3
Elise,70,10,40,10,40,30,20,4
Sylas,60,40,20,20,40,20,30,5
Amumu,40,10,10,80,20,70,20,1
Nidalee,70,70,10,10,50,10,60,8
Fizz,70,10,20,10,10,20,80,4
Varus,40,50,70,10,10,30,10,5
Graves,50,20,70,10,10,20,30,5
Aurelion Sol,40,30,60,20,10,60,30,9
Irelia,50,10,65,40,10,60,60,9
Lillia,50,50,30,40,10,40,45,5
Evelynn,90,10,10,10,30,20,40,3
Gragas,60,40,10,50,30,30,20,4
Draven,60,10,90,10,10,10,20,7
Rammus,10,10,20,90,10,50,50,1
Diana,70,20,50,20,10,10,50,3
Annie,70,40,10,20,10,30,10,1
Tahm Kench,20,20,20,80,20,40,30,2
Urgot,20,50,40,30,10,30,20,2
Ryze,70,50,70,30,20,60,30,8
Xerath,30,90,10,25,10,30,10,5
Sona,30,70,10,10,60,40,30,2
Kog'Maw,40,20,90,10,10,20,10,6
Kalista,20,20,40,10,10,40,70,7
Jinx,30,30,80,10,10,20,20,3
Jax,30,10,70,40,10,50,20,2
Lucian,60,20,80,10,10,10,50,6
Rek'Sai,30,20,50,20,40,20,50,3
Trundle,10,10,60,60,40,40,40,2
Fiddlesticks,30,50,10,10,50,60,20,1
Morgana,50,50,10,20,30,80,20,5
Yuumi,10,40,10,10,70,60,80,2
Sion,50,40,50,60,10,50,20,1
Veigar,70,30,10,10,10,30,10,2
Darius,30,10,60,40,50,20,10,2
Rengar,80,10,50,10,30,40,40,6
Kled,10,10,60,60,10,40,30,1
Nasus,20,20,40,70,50,30,20,1
Senna,20,70,70,20,40,60,10,6
Janna,10,50,10,20,50,90,50,3
Lulu,10,40,10,20,30,70,20,3
Nocturne,40,20,50,20,10,30,30,1
Orianna,60,60,10,20,10,30,20,3
Hecarim,20,10,50,50,20,40,60,5
Teemo,50,50,30,20,10,20,20,1
Olaf,20,50,60,50,40,30,20,3
Kha'Zix,80,20,20,10,20,10,40,2
Azir,50,20,50,20,10,20,40,7
Gangplank,40,40,50,10,30,20,10,5
Fiora,20,10,50,20,30,20,40,3
Sivir,20,40,70,10,10,20,30,5
Nami,20,50,20,10,60,50,20,5
Taric,10,10,20,50,40,80,10,3
Jayce,60,60,60,10,10,20,20,6
Gnar,20,20,50,50,10,20,30,2
Taliyah,80,50,10,10,10,40,30,7
Viktor,50,50,20,20,10,20,20,5
Skarner,10,10,50,80,20,50,50,1
Cassiopeia,50,40,80,20,30,50,10,8
Soraka,10,40,10,10,90,30,20,2
Illaoi,50,60,40,60,50,20,10,1
Master Yi,10,10,80,10,40,10,70,1
Zyra,60,60,10,10,10,50,10,2
Corki,40,50,60,10,10,20,40,5
Kindred,50,10,60,10,30,20,50,6
Brand,50,70,10,10,10,20,10,1
Heimerdinger,60,40,60,10,10,20,10,6
Kennen,40,30,40,10,10,30,40,3
Shyvana,70,30,70,50,20,10,20,3
Vel'Koz,70,70,10,10,10,30,10,7
Anivia,40,60,10,20,10,50,10,2
Malzahar,20,50,10,30,10,30,10,2
Rumble,40,50,50,20,10,30,10,1
Shaco,60,20,50,10,10,30,30,4
Yorick,20,40,50,50,20,30,10,2
Tryndamere,30,10,90,10,60,20,60,1
Lux,30,60,10,10,20,40,10,4
Kayle,10,40,30,10,40,50,10,5
Twisted Fate,10,50,20,10,10,50,10,6
Ziggs,30,60,60,10,10,20,20,4
Lissandra,30,60,10,20,20,60,30,3
Xin Zhao,20,10,70,30,50,20,20,2
