Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Zilean,256,112,0,0,129,80,47,36,5,16
Karthus,55,20,12,20,564,388,2192,1634,0,0
Renekton,2056,1733,0,0,119,111,0,0,43,30
Ahri,47,28,0,0,738,649,773,661,0,0
Poppy,168,145,9,8,0,0,0,0,0,0
Dr. Mundo,438,435,0,0,0,0,3,2,0,0
Pantheon,33,54,0,0,1,6,0,0,55,56
Ekko,438,366,145,161,967,837,76,67,0,0
Galio,33,66,0,0,178,115,0,0,2,9
Vel'Koz,0,0,0,0,19,4,0,0,0,0
Xerath,0,0,0,0,358,190,4,2,0,0
Cho'Gath,142,133,0,0,74,46,0,0,0,0
Malphite,10,24,0,0,31,26,0,0,0,0
Karma,139,74,0,0,59,64,1,3,0,0
Gangplank,18,21,0,0,15,18,0,0,0,0
Zed,0,0,0,0,108,104,0,0,0,0
Aurelion Sol,0,0,0,0,3,3,0,0,0,0
Qiyana,0,0,0,0,2,1,0,0,0,0
Pyke,0,1,53,57,1,0,0,2,2806,1844
Miss Fortune,0,0,0,0,41,39,146,164,0,0
Sona,0,0,0,0,15,7,411,337,0,0
Kassadin,0,0,0,0,18,16,4,8,0,0
Kled,374,348,0,0,0,0,0,0,0,0
Lucian,24,18,0,0,0,0,0,0,0,0
Jayce,304,252,0,0,3,1,0,0,0,0
Camille,150,113,0,0,8,18,0,0,0,0
Aatrox,150,165,0,0,0,0,0,0,0,0
Ryze,190,132,0,0,0,0,0,0,0,0
Bard,53,43,0,0,0,0,12,10,621,692
Nunu,0,0,1980,1440,0,0,0,0,76,39
Rek'Sai,0,0,18,18,0,0,0,0,0,0
Udyr,0,0,358,256,0,0,0,0,0,0
Lillia,0,0,179,208,2,3,0,0,0,0
Volibear,33,28,738,518,0,0,0,0,0,0
Leona,0,0,0,0,0,0,0,0,86,103
Sejuani,0,0,749,652,0,0,0,0,90,108
Nautilus,0,0,1078,801,0,0,0,0,141,150
Zac,0,0,314,221,0,0,0,0,0,0
Neeko,0,0,0,0,58,43,255,250,0,1
Aphelios,0,0,0,0,0,0,118,149,0,0
Rakan,8,15,66,32,0,0,0,2,102,150
Caitlyn,0,0,0,0,0,0,191,139,0,0
Quinn,0,0,0,0,0,0,76,96,0,0
Varus,0,0,0,0,0,0,10,15,0,0
Sett,141,124,86,62,0,1,0,0,39,50
Garen,301,268,0,0,0,0,0,0,0,0
Twitch,2,5,0,0,0,0,41,53,0,0
Warwick,13,24,0,0,0,0,0,0,0,0
Jarvan IV,0,3,2,11,0,0,0,0,0,0
Hecarim,0,0,11,23,0,0,0,0,0,0
Swain,34,28,0,0,0,0,2,8,7,11
Ornn,42,34,0,0,0,0,0,0,0,0
Illaoi,4,4,0,0,0,0,0,0,0,0
Kog'Maw,0,0,0,0,0,0,110,128,0,0
Draven,0,0,0,0,0,0,28,22,0,0
Urgot,0,0,0,0,0,0,43,31,0,0
Yasuo,0,0,0,0,2,5,1,0,0,0
Syndra,0,0,0,0,306,253,24,30,0,0
Zoe,0,0,0,0,29,50,4,7,0,0
Corki,0,0,0,0,7,6,0,0,0,0
Braum,0,0,0,0,0,0,42,33,77,85
Taric,0,0,1,3,0,0,3,9,43,53
Maokai,0,0,6,4,0,0,0,0,23,34
Rammus,0,0,124,105,0,0,0,0,26,22
Katarina,0,0,0,0,25,44,0,0,0,0
Blitzcrank,0,0,0,0,0,0,0,0,63,107
Irelia,218,165,0,0,0,0,0,0,0,0
Ezreal,0,0,0,0,141,106,63,86,0,0
Kai'Sa,0,0,0,0,0,0,576,560,0,0
Ashe,0,0,0,0,0,0,62,44,0,0
Shen,33,54,8,11,0,0,0,0,93,85
Wukong,5,7,0,0,25,12,0,0,0,0
Janna,0,0,0,0,0,0,0,0,3,12
Alistar,296,266,29,38,0,0,0,0,170,193
Singed,0,0,0,0,0,0,152,111,0,0
Senna,0,0,0,0,0,0,41,39,0,0
Lissandra,0,0,0,0,1,8,0,0,0,0
Akali,4,4,0,0,232,251,0,0,0,0
Ivern,0,0,135,120,0,0,0,0,15,23
Lee Sin,0,0,39,41,0,0,0,0,0,0
