Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Xerath,0,0,0,0,415,258,0,0,0,0
Karthus,78,45,57,69,746,470,2561,1812,0,0
Malphite,0,0,16,32,31,26,0,0,0,0
Karma,142,77,0,0,77,83,1,3,0,1
Gangplank,0,0,0,0,15,18,0,0,0,0
Zed,0,0,0,0,103,101,0,0,0,0
Ahri,30,14,0,0,1003,909,560,457,0,0
Aurelion Sol,0,0,0,0,3,3,0,0,0,0
Qiyana,0,0,0,0,2,1,0,0,0,0
Zilean,297,118,0,0,164,115,45,35,4,11
Aatrox,152,162,0,0,0,0,0,0,0,0
Ryze,0,1,0,0,0,0,0,0,0,0
Miss Fortune,0,0,0,0,41,39,28,24,0,0
Sona,0,0,0,0,18,10,147,102,0,0
Kassadin,0,0,15,21,508,485,0,0,0,0
Pyke,0,0,3,0,0,0,0,0,4134,2721
Leona,0,0,28,30,12,12,0,0,281,382
Bard,0,0,0,0,0,0,0,0,1877,1961
Sejuani,0,0,817,647,0,0,0,0,151,171
Volibear,4,1,820,653,0,0,0,0,0,0
Nunu,0,0,1852,1245,0,0,0,0,86,47
Lillia,0,0,218,242,2,3,11,11,0,0
Udyr,0,0,531,503,0,0,0,0,0,0
Rek'Sai,0,0,18,18,0,0,0,0,0,0
Pantheon,66,65,0,0,227,204,10,8,143,181
Sett,285,263,225,181,0,1,115,89,61,71
Neeko,1,2,0,0,162,175,540,457,1,1
Aphelios,0,0,0,0,0,0,79,123,0,0
Dr. Mundo,20,30,0,0,0,0,60,64,0,0
Maokai,0,0,73,66,0,0,0,0,80,103
Renekton,2559,1943,0,0,512,430,152,119,59,39
Ekko,210,157,175,164,789,667,94,81,0,0
Galio,0,0,0,0,593,467,0,0,2,7
Vel'Koz,0,0,0,0,20,4,0,0,0,0
Cho'Gath,116,118,0,0,420,328,0,0,0,0
Rakan,8,15,285,211,28,28,18,22,106,163
Ivern,0,0,266,207,0,0,0,0,0,0
Nautilus,0,0,1855,1556,0,0,0,0,607,569
Kled,55,45,0,0,0,0,0,0,0,0
Lucian,30,27,0,0,0,0,8,12,0,0
Jayce,396,314,0,0,0,0,0,0,0,0
Camille,26,42,0,0,0,0,0,0,0,0
Zac,0,0,350,240,0,0,0,0,0,0
Poppy,8,23,0,0,0,0,0,0,26,27
Blitzcrank,0,0,0,0,0,0,0,0,156,206
Ezreal,0,0,0,0,0,0,210,191,0,0
Twitch,2,5,0,0,0,0,79,89,0,0
Singed,3,2,0,0,37,43,244,173,0,0
Jinx,0,0,0,0,0,0,3,7,0,0
Corki,0,0,0,0,0,0,0,1,0,0
Senna,0,0,0,0,0,0,41,39,0,1
Braum,0,0,0,0,25,32,43,33,124,198
Garen,443,476,0,0,0,0,135,110,0,0
Warwick,3,3,60,52,0,0,0,0,0,0
Jarvan IV,0,3,3,10,0,0,0,0,0,0
Rammus,0,0,0,0,0,0,164,149,82,100
Taric,0,0,0,0,0,0,0,0,28,32
Kai'Sa,0,0,0,0,0,0,77,96,0,0
Caitlyn,0,0,0,0,0,0,73,82,0,0
Zoe,0,0,0,0,245,253,23,34,0,0
Vladimir,0,0,0,0,22,23,30,25,0,0
Tristana,0,0,0,0,0,0,79,88,0,0
Ashe,0,0,0,0,0,0,172,183,0,0
Irelia,270,197,0,0,11,15,0,0,0,0
Lee Sin,0,0,172,186,0,0,0,0,0,0
Swain,47,75,0,0,1,0,5,6,0,0
Shen,185,145,2,0,0,0,0,0,20,21
Ornn,582,506,0,0,0,0,0,0,0,0
Talon,0,0,0,0,193,207,0,0,0,0
Akali,0,0,0,0,1,1,0,0,0,0
Vi,0,0,97,94,0,0,0,0,0,0
Hecarim,0,0,11,23,0,0,0,0,0,0
Alistar,403,338,0,0,0,0,0,0,115,136
Kog'Maw,0,0,0,0,0,0,196,209,0,0
Katarina,0,0,0,0,300,283,0,0,0,0
Janna,0,0,0,0,0,0,0,0,3,12
Nidalee,0,0,55,68,0,0,0,0,0,0
Sylas,0,0,0,0,14,15,0,0,0,0
Urgot,323,311,0,0,0,0,5,3,0,0
Sion,1,1,0,0,0,0,0,0,0,0
Yasuo,0,0,0,0,6,17,1,0,0,0
Graves,0,0,22,24,8,11,0,0,0,0
Jhin,0,0,0,0,0,0,23,28,0,0
Evelynn,0,0,9,13,0,0,0,0,0,0
LeBlanc,0,0,0,0,154,129,0,0,0,0
Xayah,0,0,0,0,0,0,4,20,0,0
Vayne,0,0,0,0,0,0,5,9,0,0
Syndra,0,0,0,0,157,123,43,38,0,0
Amumu,1,0,0,0,0,0,0,0,0,0
Mordekaiser,0,0,0,0,177,171,112,114,0,0
Draven,0,0,0,0,0,0,38,27,0,0
Kalista,0,0,0,0,0,0,4,8,0,0
Illaoi,0,0,0,0,0,0,2,3,0,0
Diana,0,0,0,0,101,139,0,0,0,0
Wukong,4,6,4,0,0,0,0,0,0,0
Lissandra,0,0,0,0,1,8,0,0,0,0
Fiora,13,15,0,0,0,0,0,0,0,0
Fizz,0,0,0,0,24,23,0,0,0,0
Master Yi,0,0,7,11,0,0,0,0,0,0
Nasus,0,0,0,0,0,0,104,80,0,0
Thresh,0,0,0,0,0,0,0,0,69,102
Skarner,0,0,58,63,0,0,0,0,0,0
