Champion,Top wins,Top losses,Jungle wins,Jungle losses,Mid wins,Mid losses,Bot wins,Bot losses,Support wins,Support losses
Sejuani,0,0,2367,1937,0,0,0,0,351,308
Maokai,0,0,4759,3793,69,64,0,0,25,17
Poppy,36,47,749,569,0,0,0,0,453,401
Shen,0,0,911,715,0,0,0,0,374,341
Leona,0,0,755,625,0,0,0,0,456,406
Nautilus,0,0,8635,6391,0,0,0,0,1658,1406
Qiyana,24,30,737,499,218,213,2,2,188,190
Evelynn,0,0,128,108,737,668,0,0,22,39
Rek'Sai,0,0,68,51,0,0,0,0,0,0
Kha'Zix,0,0,18,14,0,0,0,0,0,0
Rengar,0,0,241,223,0,0,306,281,669,701
Elise,0,0,3,9,0,0,0,0,0,0
Lee Sin,0,0,3,6,0,0,0,0,0,0
Ivern,0,0,7299,5995,0,0,0,0,0,0
Volibear,368,325,301,259,0,0,0,0,0,0
Twitch,0,0,0,0,0,0,716,550,0,0
Jinx,0,0,0,0,0,0,821,677,0,0
Kog'Maw,0,0,0,0,0,0,2309,1966,0,0
Vayne,15,20,0,0,0,0,1349,1257,0,0
Zac,0,0,50,45,0,0,0,0,0,0
Senna,800,582,0,0,4170,2763,2014,1695,1058,993
Cassiopeia,0,0,0,0,480,522,0,0,0,0
Ryze,944,860,0,0,821,710,0,0,0,0
Gangplank,0,0,0,0,229,186,0,0,0,0
Yone,1149,994,0,0,126,97,0,0,0,0
Sett,833,747,25,23,0,0,3,4,1089,916
Pyke,21,32,853,503,2548,1839,0,0,11252,8231
Ornn,944,829,0,0,0,0,0,0,102,81
Nunu,0,0,1700,1408,0,0,0,0,191,159
Yuumi,661,478,0,0,0,0,0,0,34,40
Aatrox,226,172,13,20,296,240,0,0,0,0
Kled,177,145,0,0,0,0,0,0,0,0
Jarvan IV,447,440,1971,1598,386,402,0,0,6,14
Kennen,0,0,0,0,582,471,0,0,0,0
Orianna,0,0,0,0,309,269,0,0,0,0
Aurelion Sol,303,262,0,0,632,612,0,0,0,0
Nidalee,0,0,0,0,141,142,0,0,125,129
Draven,0,0,0,0,209,160,3446,2932,0,0
Cho'Gath,771,747,0,0,354,369,1321,1224,0,0
Ezreal,0,0,0,0,359,309,731,599,240,207
Neeko,180,163,0,0,18,25,80,89,0,0
Ahri,0,0,0,0,443,450,177,174,0,0
Aphelios,0,0,0,0,0,0,1686,1466,0,0
Janna,3409,2930,0,0,16,21,0,0,187,173
Lulu,40,58,0,0,792,620,0,0,114,138
Rakan,0,0,227,207,0,0,0,0,2162,2272
Vi,0,0,293,213,0,0,0,0,0,0
Udyr,0,0,505,494,0,0,0,0,0,0
Thresh,0,0,355,277,0,0,0,0,582,571
Galio,36,38,57,41,991,824,238,218,0,1
Rammus,0,0,817,790,0,0,0,0,0,0
Rumble,329,274,5,8,131,105,0,0,0,0
Quinn,24,28,10,18,0,0,0,0,0,0
Karma,44,38,0,0,103,125,0,0,4,5
Kayle,0,0,0,0,7,9,87,94,0,0
Yasuo,606,510,0,0,1793,1597,272,238,0,0
Akali,0,0,0,0,858,824,0,0,0,0
Xerath,0,0,0,0,4,3,0,0,0,0
Veigar,2,3,0,0,507,467,0,0,0,0
Azir,0,0,0,0,456,398,28,27,0,0
Viktor,0,0,0,0,286,235,0,0,0,0
Karthus,0,0,0,0,275,232,0,0,0,0
Singed,0,0,107,107,11,9,113,91,0,0
Morgana,0,0,0,0,0,0,0,0,46,65
Lucian,941,791,0,0,243,279,1313,1156,0,0
Kayn,0,0,243,194,0,0,0,0,0,0
Lillia,340,362,629,586,268,252,0,0,0,0
Lissandra,0,0,0,0,578,434,0,0,0,0
Bard,0,0,0,0,0,0,0,0,1657,1631
Soraka,67,103,0,0,0,0,0,0,0,1
Blitzcrank,0,0,0,0,0,0,0,0,128,148
Irelia,70,66,0,0,6,10,0,0,0,0
Kindred,0,0,156,142,0,0,0,0,0,0
Warwick,0,0,149,161,0,0,0,0,0,0
Jayce,954,864,0,0,106,114,0,0,0,0
Riven,1127,994,0,0,8,12,0,0,0,0
Renekton,290,260,0,0,0,0,0,0,0,0
Camille,257,222,0,0,100,90,0,0,0,0
Tryndamere,531,451,0,0,3,5,0,0,0,0
Varus,9,12,0,0,18,25,253,230,0,0
Caitlyn,0,0,0,0,0,0,620,542,0,0
Kai'Sa,0,0,0,0,111,97,612,582,0,0
Pantheon,390,401,113,152,0,0,0,0,0,0
Xayah,0,0,0,0,5,6,479,439,0,0
Fizz,0,0,0,0,1501,1396,0,0,0,0
LeBlanc,0,0,0,0,488,493,0,0,21,25
Diana,2,1,0,0,227,235,0,0,0,0
Alistar,1058,872,0,0,0,0,1,0,0,0
Gnar,1830,1691,0,0,0,0,0,0,0,0
Anivia,0,0,0,0,32,36,235,191,0,0
Sivir,0,0,0,0,0,0,1226,1060,0,0
Jhin,0,0,0,0,0,0,31,34,0,0
Kassadin,20,23,0,0,23,24,0,0,0,0
Olaf,0,0,27,31,0,0,16,18,0,0
Sona,139,138,0,0,0,0,0,0,0,0
Fiora,608,468,0,0,0,0,0,0,0,0
Darius,540,490,0,0,0,0,0,0,0,0
Garen,522,476,0,0,0,0,5,5,0,0
Jax,29,38,0,0,0,0,0,0,0,0
Ziggs,0,0,0,0,1,0,0,0,0,0
Zilean,778,659,0,0,5,11,0,0,0,0
Corki,0,0,0,0,157,163,0,0,22,24
Heimerdinger,0,0,0,0,286,251,0,0,0,0
Braum,0,0,0,0,0,0,13,23,0,0
Ekko,30,24,304,285,208,216,0,0,0,0
Zoe,0,0,0,0,1,2,0,0,0,0
Wukong,61,61,268,268,2,1,0,0,0,0
Amumu,0,0,237,210,0,0,0,0,211,211
Talon,0,0,534,479,0,0,0,0,0,0
Skarner,0,0,325,284,0,0,0,0,0,0
Hecarim,0,0,156,140,0,0,0,0,0,0
Miss Fortune,0,0,0,0,0,0,529,434,0,0
Zed,95,82,0,0,76,69,0,0,0,0
Twisted Fate,10,12,0,0,0,0,0,0,0,0
Trundle,10,9,0,0,0,0,0,0,0,0
Graves,0,0,8,11,0,0,0,0,0,0
Malphite,1,3,0,0,0,0,0,0,0,0
Kalista,0,0,0,0,0,0,29,36,0,0
Vladimir,0,0,0,0,3,9,0,0,0,0
Shyvana,0,0,0,0,3,8,0,0,0,0
Katarina,0,0,0,0,96,82,0,0,0,0
Swain,0,0,0,0,10,19,0,0,0,0
