Champion name,Win rate(%),Wins / losses
Garen,58.1,75 / 54
Malphite,57.7,923 / 678
Illaoi,56.2,637 / 496
Brand,55.9,422 / 333
Karma,54.7,7978 / 6615
Zac,54.0,3360 / 2866
Pyke,53.8,4446 / 3825
Skarner,53.7,1916 / 1655
Karthus,53.3,6623 / 5803
Udyr,53.3,4259 / 3738
Nunu,53.2,788 / 692
Sejuani,53.0,571 / 506
Malzahar,53.0,418 / 371
Shen,52.9,1822 / 1620
Galio,52.9,1765 / 1573
Volibear,52.5,980 / 886
Poppy,52.4,500 / 454
Warwick,52.1,878 / 808
Rakan,52.0,5497 / 5077
Aphelios,51.9,3446 / 3192
Rammus,51.8,240 / 223
Rumble,51.8,186 / 173
Alistar,51.7,767 / 716
Ashe,51.6,1465 / 1376
Hecarim,51.6,786 / 736
Sona,51.5,3183 / 3002
Trundle,51.5,374 / 352
Senna,51.2,5390 / 5138
Lee Sin,51.2,1177 / 1124
Zyra,51.2,200 / 191
Dr. Mundo,51.1,761 / 729
Yorick,51.1,267 / 256
Vi,51.1,138 / 132
Yasuo,51.0,2627 / 2529
Rek'Sai,50.9,537 / 517
Graves,50.8,2249 / 2176
Blitzcrank,50.7,901 / 875
Syndra,50.7,527 / 513
Irelia,50.4,3321 / 3271
Kalista,50.3,75 / 74
Ornn,50.2,1394 / 1385
Thresh,50.2,936 / 930
Orianna,50.2,725 / 718
Xayah,50.1,2164 / 2155
Ivern,50.1,979 / 976
Caitlyn,50.1,859 / 857
Nidalee,50.1,491 / 490
Bard,50.0,1508 / 1506
Aurelion Sol,49.9,471 / 473
Jinx,49.8,425 / 429
Nocturne,49.7,789 / 798
Gragas,49.5,256 / 261
Janna,49.4,903 / 924
Fiddlesticks,49.4,566 / 580
Singed,49.3,1345 / 1382
Nasus,49.2,489 / 504
Ryze,49.1,686 / 711
Kayle,49.1,243 / 252
Ahri,49.0,1007 / 1048
Nautilus,49.0,955 / 994
Draven,48.9,775 / 810
Zilean,48.9,459 / 480
Amumu,48.6,202 / 214
Corki,48.6,155 / 164
Gnar,48.5,348 / 369
Renekton,48.5,194 / 206
Leona,48.4,544 / 581
Mordekaiser,48.3,494 / 528
Wukong,48.0,499 / 541
Lucian,48.0,410 / 445
Tryndamere,47.9,1141 / 1241
Sion,47.8,431 / 471
Tristana,47.8,332 / 362
Urgot,47.8,245 / 268
Master Yi,47.7,917 / 1005
Katarina,47.7,232 / 254
Elise,47.7,219 / 240
Ziggs,47.7,179 / 196
Maokai,47.6,323 / 355
Camille,47.5,1193 / 1317
Pantheon,47.5,600 / 662
Kog'Maw,47.4,298 / 331
Vel'Koz,47.4,232 / 257
Braum,47.3,831 / 927
Riven,47.2,781 / 874
Jarvan IV,47.2,344 / 385
Kassadin,47.0,385 / 435
Miss Fortune,46.9,881 / 999
Teemo,46.6,229 / 262
Shyvana,46.6,69 / 79
Fizz,46.4,153 / 177
Kindred,46.3,264 / 306
Kai'Sa,46.1,546 / 638
Olaf,46.1,344 / 403
Anivia,46.0,443 / 519
Ekko,45.9,285 / 336
Nami,45.8,387 / 458
LeBlanc,45.7,264 / 314
Shaco,45.5,220 / 264
Evelynn,45.4,420 / 506
Sylas,45.2,523 / 635
Varus,45.2,509 / 618
Jhin,45.2,219 / 266
Neeko,45.1,147 / 179
Aatrox,44.9,645 / 792
Tahm Kench,44.9,251 / 308
Sett,44.8,718 / 885
Lux,44.8,116 / 143
Ezreal,44.7,1107 / 1369
Kennen,44.7,555 / 687
Kha'Zix,44.7,473 / 585
Vladimir,44.7,218 / 270
Swain,44.6,231 / 287
Jayce,44.3,270 / 339
Cho'Gath,44.3,181 / 228
Diana,44.3,101 / 127
Rengar,44.3,47 / 59
Zoe,44.2,363 / 458
Yuumi,44.1,899 / 1138
Heimerdinger,44.1,177 / 224
Kled,43.9,151 / 193
Zed,43.7,275 / 355
Cassiopeia,43.6,339 / 439
Twitch,43.4,262 / 341
Jax,43.4,121 / 158
Xerath,42.9,1045 / 1392
Azir,42.9,328 / 436
Sivir,42.9,192 / 256
Lulu,42.8,197 / 263
Fiora,42.7,419 / 563
Gangplank,42.7,359 / 481
Morgana,42.7,114 / 153
Akali,42.5,605 / 818
Veigar,42.5,414 / 560
Darius,42.3,301 / 411
Vayne,42.1,567 / 779
Talon,41.7,279 / 390
Quinn,41.3,195 / 277
Annie,41.3,167 / 237
Viktor,41.3,86 / 122
Xin Zhao,41.0,128 / 184
Soraka,40.8,108 / 157
Qiyana,39.7,124 / 188
Twisted Fate,39.1,173 / 270
Lissandra,36.4,67 / 117
Taliyah,35.7,71 / 128
Taric,32.1,544 / 1153
