Champion name,Win rate(%),Wins / losses
Pyke,55.5,53196 / 42693
Karthus,55.1,71027 / 57845
Nunu,53.5,30462 / 26482
Ahri,53.4,79030 / 68860
Renekton,53.2,61040 / 53599
Ekko,52.3,48093 / 43879
Nautilus,52.1,43573 / 40002
Bard,51.4,52077 / 49291
Sett,51.4,23384 / 22102
Ornn,51.3,13676 / 12983
Maokai,51.3,10731 / 10182
Blitzcrank,51.2,29989 / 28601
Poppy,51.2,18417 / 17536
Sejuani,51.1,26181 / 25042
Kassadin,51.1,16760 / 16015
Galio,51.0,11168 / 10723
Neeko,50.9,33358 / 32209
Fizz,50.9,5269 / 5076
Volibear,50.8,23456 / 22674
Udyr,50.7,6347 / 6169
Wukong,50.5,7943 / 7780
Rek'Sai,50.5,3599 / 3529
Shen,50.4,19761 / 19474
Amumu,50.4,4845 / 4768
Cho'Gath,50.3,12469 / 12298
Garen,50.3,11146 / 11007
LeBlanc,50.1,10257 / 10199
Pantheon,50.0,16425 / 16401
Talon,50.0,5807 / 5810
Skarner,50.0,2515 / 2519
Xayah,49.9,9863 / 9910
Jarvan IV,49.8,5238 / 5280
Ivern,49.5,5391 / 5506
Kai'Sa,49.4,16354 / 16762
Vi,49.4,5792 / 5942
Urgot,49.4,3896 / 3991
Warwick,49.3,5529 / 5682
Rammus,49.3,4276 / 4403
Tahm Kench,49.3,4117 / 4228
Zac,49.2,10659 / 11015
Zoe,49.2,9585 / 9914
Hecarim,49.2,2756 / 2846
Dr. Mundo,49.0,8901 / 9262
Riven,49.0,7184 / 7491
Malphite,49.0,5675 / 5895
Gragas,49.0,4265 / 4442
Ezreal,48.9,12165 / 12718
Rakan,48.9,11109 / 11607
Alistar,48.9,8110 / 8471
Katarina,48.9,5571 / 5832
Lissandra,48.8,882 / 927
Zed,48.7,8899 / 9376
Qiyana,48.7,8286 / 8714
Diana,48.7,4462 / 4699
Leona,48.5,7909 / 8411
Swain,48.5,7884 / 8377
Singed,48.4,7113 / 7598
Syndra,48.4,6595 / 7042
Illaoi,48.4,1574 / 1678
Quinn,48.3,8322 / 8902
Evelynn,48.3,4217 / 4520
Aurelion Sol,48.3,3854 / 4122
Fiora,48.3,2555 / 2733
Camille,48.2,8199 / 8819
Vladimir,48.2,7979 / 8577
Mordekaiser,48.2,7463 / 8017
Teemo,48.2,2511 / 2701
Akali,48.1,12380 / 13344
Braum,48.1,5849 / 6317
Nidalee,48.0,4652 / 5035
Taliyah,47.9,2176 / 2366
Veigar,47.8,3092 / 3380
Lillia,47.6,3775 / 4157
Sion,47.6,3461 / 3812
Anivia,47.6,1550 / 1703
Aphelios,47.5,11492 / 12708
Aatrox,47.5,8762 / 9680
Miss Fortune,47.5,7385 / 8152
Karma,47.5,6108 / 6751
Kled,47.5,2665 / 2946
Elise,47.4,4696 / 5207
Nasus,47.3,2755 / 3065
Tristana,47.2,5158 / 5767
Nocturne,47.1,2669 / 3000
Sona,47.0,3665 / 4139
Ashe,46.9,8181 / 9262
Lee Sin,46.9,7149 / 8084
Jhin,46.8,5406 / 6145
Master Yi,46.6,1972 / 2259
Vayne,46.4,5344 / 6162
Annie,46.4,3726 / 4310
Kha'Zix,46.4,2502 / 2891
Thresh,46.3,7784 / 9029
Rengar,46.3,2748 / 3187
Varus,46.1,4082 / 4767
Yorick,46.1,1379 / 1611
Irelia,46.0,4072 / 4786
Darius,46.0,2512 / 2949
Ryze,45.9,3594 / 4234
Caitlyn,45.7,7688 / 9141
Twitch,45.7,7183 / 8546
Trundle,45.7,3170 / 3761
Zyra,45.7,1914 / 2273
Kog'Maw,45.6,3617 / 4318
Draven,45.5,4109 / 4916
Graves,45.3,3935 / 4749
Xerath,45.3,3345 / 4042
Rumble,45.3,1413 / 1705
Jayce,45.1,2250 / 2744
Gnar,45.1,1940 / 2360
Zilean,45.0,4219 / 5148
Sivir,44.9,2402 / 2942
Soraka,44.7,2127 / 2636
Brand,44.6,1690 / 2099
Yasuo,44.5,6562 / 8170
Fiddlesticks,44.4,2883 / 3613
Taric,44.4,1936 / 2425
Malzahar,44.3,1302 / 1640
Jax,44.2,2978 / 3752
Shaco,44.2,1306 / 1646
Jinx,43.9,3380 / 4324
Sylas,43.7,3837 / 4934
Kalista,43.6,2992 / 3865
Xin Zhao,43.6,717 / 928
Olaf,43.2,2339 / 3080
Nami,43.1,2077 / 2738
Yuumi,43.0,3073 / 4073
Viktor,43.0,2117 / 2808
Orianna,42.4,2360 / 3208
Heimerdinger,42.4,1720 / 2333
Shyvana,42.4,1450 / 1969
Corki,42.3,1525 / 2081
Lulu,42.2,2447 / 3355
Lucian,42.1,3216 / 4428
Tryndamere,41.9,895 / 1241
Kindred,41.7,1505 / 2102
Janna,41.6,2185 / 3067
Cassiopeia,41.0,1892 / 2725
Ziggs,40.7,822 / 1199
Morgana,40.6,2483 / 3631
Azir,40.5,2150 / 3154
Lux,40.2,925 / 1374
Kennen,40.1,1318 / 1970
Gangplank,39.6,2199 / 3359
Twisted Fate,39.1,979 / 1527
Vel'Koz,38.0,1486 / 2423
Senna,37.3,2164 / 3630
Kayle,37.0,836 / 1425
