Champion name,Win rate(%),Wins / losses
Pyke,54.9,66672 / 54795
Nautilus,54.0,59211 / 50500
Thresh,52.6,20548 / 18535
Draven,52.5,17336 / 15696
Sivir,52.3,7183 / 6560
Riven,51.9,12145 / 11250
Maokai,51.8,24167 / 22466
Janna,51.8,9107 / 8472
Amumu,51.5,4776 / 4501
Sejuani,51.3,26213 / 24913
Quinn,51.3,5910 / 5600
Shen,51.2,18894 / 18005
Poppy,51.2,17243 / 16413
Ezreal,51.2,16115 / 15363
Leona,51.2,8995 / 8588
Heimerdinger,51.1,5609 / 5377
Lissandra,51.1,1753 / 1679
Senna,51.0,21173 / 20370
Ziggs,51.0,2557 / 2461
Vi,50.9,3383 / 3261
Aurelion Sol,50.8,9468 / 9170
Warwick,50.7,6996 / 6814
Udyr,50.7,3796 / 3689
Ryze,50.6,9383 / 9148
Fiora,50.6,5208 / 5085
Viktor,50.6,2778 / 2714
Tryndamere,50.6,2211 / 2155
Ivern,50.5,32595 / 31999
Sett,50.4,33151 / 32646
Xayah,50.4,19834 / 19537
Yasuo,50.4,14838 / 14606
Ekko,50.3,30374 / 30047
Ornn,50.3,17318 / 17091
LeBlanc,50.3,11500 / 11360
Anivia,50.3,1733 / 1715
Cho'Gath,50.2,23294 / 23154
Qiyana,50.2,12772 / 12645
Fizz,50.2,6911 / 6861
Evelynn,50.2,4073 / 4048
Akali,50.1,11947 / 11906
Kog'Maw,50.1,10298 / 10270
Wukong,50.1,7068 / 7051
Irelia,50.1,6793 / 6766
Neeko,50.0,25002 / 24956
Talon,50.0,5352 / 5361
Galio,49.9,10926 / 10979
Lucian,49.9,8390 / 8437
Jhin,49.9,6060 / 6088
Azir,49.9,3970 / 3981
Ahri,49.8,56063 / 56614
Jayce,49.8,3778 / 3812
Xerath,49.8,1598 / 1608
Aphelios,49.7,25063 / 25404
Nunu,49.7,16815 / 17022
Braum,49.7,5766 / 5830
Rumble,49.7,1998 / 2021
Camille,49.6,12856 / 13071
Pantheon,49.6,11419 / 11606
Rammus,49.6,4997 / 5083
Renekton,49.5,37933 / 38672
Karthus,49.5,26814 / 27331
Vayne,49.5,8429 / 8605
Miss Fortune,49.5,5872 / 5989
Yone,49.4,8172 / 8358
Yuumi,49.4,5387 / 5521
Gnar,49.4,2842 / 2913
Volibear,49.3,13400 / 13804
Varus,49.3,5226 / 5385
Katarina,49.3,5229 / 5378
Syndra,49.3,3452 / 3550
Bard,49.2,29879 / 30835
Zed,49.2,6171 / 6381
Cassiopeia,49.2,5810 / 5990
Malphite,49.2,4362 / 4501
Kassadin,49.1,10890 / 11291
Mordekaiser,49.1,4222 / 4374
Hecarim,49.1,2622 / 2713
Caitlyn,49.0,10052 / 10456
Gangplank,49.0,4072 / 4234
Kai'Sa,48.9,13364 / 13985
Garen,48.8,9448 / 9903
Lillia,48.8,7276 / 7629
Jinx,48.8,6984 / 7318
Rek'Sai,48.8,3945 / 4131
Veigar,48.8,3282 / 3445
Orianna,48.8,3159 / 3319
Tahm Kench,48.8,3076 / 3230
Illaoi,48.8,558 / 586
Blitzcrank,48.6,15310 / 16207
Twitch,48.6,9323 / 9866
Rengar,48.6,5174 / 5480
Kennen,48.6,4693 / 4955
Kayn,48.5,2289 / 2432
Jarvan IV,48.4,12049 / 12864
Karma,48.4,9754 / 10388
Ashe,48.4,6865 / 7324
Lee Sin,48.4,4750 / 5060
Sion,48.4,3537 / 3776
Rakan,48.3,27412 / 29326
Zoe,48.3,7113 / 7612
Alistar,48.3,5627 / 6019
Diana,48.2,6475 / 6951
Singed,48.2,4414 / 4753
Graves,48.2,3017 / 3247
Skarner,48.2,1348 / 1446
Tristana,48.1,3189 / 3444
Taliyah,48.1,1291 / 1391
Nocturne,48.0,1876 / 2030
Dr. Mundo,47.9,3039 / 3304
Taric,47.9,1478 / 1605
Aatrox,47.8,6785 / 7408
Kalista,47.8,3687 / 4025
Zilean,47.8,3130 / 3415
Gragas,47.8,3000 / 3276
Teemo,47.8,2924 / 3197
Urgot,47.8,2845 / 3112
Nasus,47.8,2585 / 2824
Darius,47.7,6881 / 7550
Yorick,47.7,1086 / 1192
Corki,47.3,1566 / 1742
Zac,47.2,5849 / 6543
Kled,47.2,3137 / 3513
Vladimir,47.1,4738 / 5318
Sylas,47.1,3408 / 3832
Vel'Koz,47.0,1634 / 1846
Twisted Fate,47.0,1059 / 1193
Nidalee,46.9,3319 / 3759
Swain,46.8,3971 / 4510
Lux,46.8,1140 / 1298
Morgana,46.5,5044 / 5794
Lulu,46.4,14175 / 16404
Nami,46.0,3713 / 4362
Elise,46.0,2695 / 3160
Annie,45.8,1508 / 1788
Zyra,45.6,1247 / 1486
Kayle,45.5,1302 / 1562
Jax,45.4,3043 / 3661
Malzahar,45.4,941 / 1133
Master Yi,45.3,1567 / 1895
Sona,44.2,2675 / 3382
Kha'Zix,44.2,1934 / 2441
Trundle,44.0,2095 / 2665
Soraka,43.5,3120 / 4059
Kindred,43.4,849 / 1109
Brand,43.1,1144 / 1510
Fiddlesticks,42.7,1887 / 2536
Shyvana,42.0,1706 / 2359
Shaco,41.1,967 / 1384
Olaf,40.8,1521 / 2207
Xin Zhao,37.0,430 / 733
