Champion name,Win rate(%),Wins / losses
Singed,62.4,675 / 406
Kled,61.9,231 / 142
Irelia,61.2,1836 / 1162
Dr. Mundo,60.8,183 / 118
Tryndamere,59.7,547 / 369
Camille,58.8,1295 / 906
Skarner,58.8,271 / 190
Sion,58.4,291 / 207
Kennen,58.1,352 / 254
Fiora,58.0,1114 / 806
Udyr,57.6,673 / 496
Mordekaiser,57.1,572 / 429
Pyke,56.8,758 / 577
Aatrox,56.7,1158 / 883
Jax,55.8,344 / 273
Rakan,53.5,618 / 537
Illaoi,53.2,151 / 133
Warwick,53.0,322 / 286
Nunu,52.9,263 / 234
Ahri,52.6,353 / 318
Hecarim,52.5,84 / 76
Sejuani,52.3,381 / 348
Ryze,52.3,242 / 221
Nautilus,52.2,525 / 480
Ivern,52.0,782 / 722
Xayah,51.8,569 / 529
Yorick,51.8,59 / 55
Ziggs,51.7,137 / 128
Aurelion Sol,51.6,207 / 194
Miss Fortune,51.5,429 / 404
Lee Sin,51.2,373 / 355
Sivir,51.2,104 / 99
Aphelios,51.1,1158 / 1107
Kassadin,51.0,221 / 212
Alistar,50.9,463 / 447
Zac,50.8,364 / 352
Bard,50.7,366 / 356
Jarvan IV,50.7,136 / 132
Blitzcrank,50.6,354 / 346
Evelynn,50.5,211 / 207
Leona,50.3,246 / 243
Nami,50.3,173 / 171
Yasuo,50.2,520 / 516
Katarina,50.2,214 / 212
Cassiopeia,50.0,556 / 556
Volibear,50.0,252 / 252
Fiddlesticks,50.0,103 / 103
Nidalee,49.9,399 / 401
Sona,49.9,215 / 216
Kog'Maw,49.8,484 / 488
Riven,49.8,215 / 217
Caitlyn,49.7,424 / 429
Draven,49.6,416 / 422
Thresh,49.4,686 / 703
Twitch,49.3,520 / 534
Diana,49.3,73 / 75
Zoe,49.2,380 / 392
Elise,49.2,377 / 390
Xerath,49.2,354 / 366
Neeko,49.1,374 / 388
Trundle,49.1,135 / 140
Rek'Sai,48.8,401 / 420
Malphite,48.8,84 / 88
Vayne,48.7,523 / 551
Jhin,48.6,388 / 411
Kalista,48.6,203 / 215
Vi,48.5,117 / 124
Ezreal,48.4,767 / 819
Jinx,48.4,451 / 481
Cho'Gath,48.4,104 / 111
Twisted Fate,48.2,261 / 280
Lissandra,48.2,55 / 59
Syndra,48.1,348 / 375
Zilean,48.1,279 / 301
Rengar,48.1,165 / 178
Zed,48.1,155 / 167
Senna,48.0,689 / 746
Orianna,48.0,355 / 385
Azir,48.0,176 / 191
Amumu,48.0,84 / 91
Kai'Sa,47.9,472 / 514
Vel'Koz,47.9,454 / 493
Morgana,47.9,190 / 207
Janna,47.8,320 / 350
Nocturne,47.7,52 / 57
Taric,47.6,162 / 178
Annie,47.5,201 / 222
Shen,47.3,397 / 442
Tristana,47.3,270 / 301
Ashe,47.2,322 / 360
LeBlanc,47.2,259 / 290
Qiyana,47.2,214 / 239
Gragas,47.2,159 / 178
Malzahar,47.2,141 / 158
Graves,47.1,369 / 415
Karthus,47.1,359 / 404
Yuumi,47.0,279 / 314
Karma,46.9,515 / 584
Olaf,46.9,323 / 366
Varus,46.7,263 / 300
Rammus,46.6,138 / 158
Akali,46.4,225 / 260
Pantheon,46.2,398 / 464
Zyra,46.2,80 / 93
Anivia,46.1,305 / 356
Viktor,46.0,161 / 189
Sett,45.8,353 / 417
Ornn,45.8,297 / 352
Rumble,45.7,53 / 63
Sylas,45.6,324 / 386
Soraka,45.3,216 / 261
Lulu,45.2,419 / 509
Lucian,45.2,387 / 470
Braum,45.0,657 / 802
Nasus,45.0,104 / 127
Tahm Kench,44.9,389 / 478
Ekko,44.9,341 / 418
Kindred,44.8,209 / 257
Vladimir,44.6,111 / 138
Brand,44.5,106 / 132
Fizz,44.4,115 / 144
Poppy,44.3,289 / 363
Galio,43.9,206 / 263
Maokai,43.8,251 / 322
Master Yi,43.7,172 / 222
Taliyah,43.7,69 / 89
Heimerdinger,43.6,223 / 289
Veigar,43.5,350 / 455
Kha'Zix,43.4,398 / 519
Quinn,43.3,61 / 80
Gnar,43.1,158 / 209
Kayle,43.0,71 / 94
Talon,42.6,185 / 249
Gangplank,42.5,308 / 417
Xin Zhao,42.4,147 / 200
Swain,42.4,104 / 141
Darius,42.0,156 / 215
Teemo,41.7,83 / 116
Wukong,41.6,127 / 178
Jayce,41.3,144 / 205
Urgot,41.2,35 / 50
Lux,41.0,75 / 108
Shyvana,40.4,92 / 136
Corki,39.8,43 / 65
Garen,38.9,37 / 58
Shaco,37.2,70 / 118
Renekton,36.4,149 / 260
