Champion name,Win rate(%),Wins / losses
Singed,62.1,476 / 291
Kled,60.6,168 / 109
Irelia,60.3,1387 / 915
Dr. Mundo,60.2,106 / 70
Tryndamere,59.7,377 / 255
Camille,59.1,1016 / 704
Fiora,59.0,820 / 570
Skarner,58.2,195 / 140
Sion,58.2,174 / 125
Pyke,57.6,551 / 406
Mordekaiser,57.5,446 / 329
Kennen,57.5,225 / 166
Aatrox,57.1,941 / 708
Udyr,57.0,528 / 399
Jax,56.8,269 / 205
Lissandra,55.3,42 / 34
Nunu,54.5,207 / 173
Rakan,53.5,480 / 417
Hecarim,53.5,38 / 33
Ziggs,53.1,111 / 98
Warwick,52.8,277 / 248
Illaoi,52.8,115 / 103
Ivern,52.6,634 / 572
Ahri,52.6,281 / 253
Aurelion Sol,52.5,167 / 151
Sejuani,52.4,316 / 287
Sivir,52.3,101 / 92
Jarvan IV,52.2,107 / 98
Xayah,51.8,471 / 438
Ryze,51.5,176 / 166
Alistar,51.4,402 / 380
Miss Fortune,51.4,361 / 341
Nautilus,51.3,430 / 408
Zac,51.3,307 / 292
Evelynn,51.0,179 / 172
Nocturne,51.0,50 / 48
Leona,50.9,206 / 199
Blitzcrank,50.8,286 / 277
Rek'Sai,50.6,326 / 318
Bard,50.6,271 / 265
Kassadin,50.6,195 / 190
Yasuo,50.5,427 / 419
Nami,50.5,142 / 139
Cassiopeia,50.4,476 / 468
Twitch,50.4,447 / 440
Sona,50.4,179 / 176
Thresh,50.3,536 / 529
Kog'Maw,50.3,385 / 381
Aphelios,50.2,877 / 870
Draven,50.2,345 / 342
Katarina,50.2,167 / 166
Zed,50.2,120 / 119
Cho'Gath,50.0,96 / 96
Yorick,50.0,49 / 49
Volibear,49.9,213 / 214
Caitlyn,49.8,329 / 331
Nidalee,49.7,326 / 330
Lee Sin,49.7,295 / 298
Xerath,49.5,281 / 287
Malzahar,49.5,135 / 138
Ezreal,49.4,637 / 653
Zoe,49.4,308 / 316
Jinx,49.3,402 / 413
Elise,49.3,318 / 327
Diana,49.3,66 / 68
Senna,49.2,574 / 593
Zilean,49.2,235 / 243
Malphite,49.2,61 / 63
Neeko,49.1,316 / 328
Rengar,49.1,135 / 140
Vayne,48.8,432 / 453
Azir,48.8,126 / 132
Jhin,48.6,340 / 359
Riven,48.5,172 / 183
Trundle,48.5,126 / 134
Fiddlesticks,48.5,81 / 86
Vel'Koz,48.4,384 / 410
Vi,48.3,100 / 107
Kalista,48.2,158 / 170
Karma,47.9,430 / 467
Shen,47.9,312 / 339
Soraka,47.8,166 / 181
Twisted Fate,47.7,222 / 243
Kai'Sa,47.6,369 / 406
Ashe,47.6,273 / 301
LeBlanc,47.6,210 / 231
Annie,47.6,167 / 184
Taric,47.6,141 / 155
Tristana,47.5,210 / 232
Syndra,47.4,263 / 292
Graves,47.3,297 / 331
Morgana,47.3,147 / 164
Amumu,47.3,62 / 69
Anivia,47.2,286 / 320
Orianna,47.0,293 / 331
Zyra,47.0,63 / 71
Olaf,46.8,247 / 281
Kindred,46.7,183 / 209
Qiyana,46.6,170 / 195
Akali,46.5,167 / 192
Viktor,46.4,141 / 163
Yuumi,46.3,222 / 257
Varus,46.3,221 / 256
Janna,46.2,264 / 308
Pantheon,46.1,316 / 369
Lulu,46.0,350 / 411
Ekko,46.0,290 / 340
Karthus,46.0,280 / 329
Ornn,45.9,224 / 264
Tahm Kench,45.5,302 / 362
Rumble,45.5,40 / 48
Sett,45.4,297 / 357
Braum,45.3,556 / 671
Sylas,45.3,272 / 328
Lucian,45.2,350 / 425
Gragas,45.1,130 / 158
Poppy,45.0,241 / 294
Vladimir,44.8,94 / 116
Rammus,44.6,83 / 103
Veigar,44.5,281 / 351
Galio,44.3,174 / 219
Talon,44.1,138 / 175
Fizz,44.0,103 / 131
Kha'Zix,43.8,333 / 428
Taliyah,43.8,46 / 59
Maokai,43.6,197 / 255
Kayle,43.5,70 / 91
Quinn,43.3,55 / 72
Heimerdinger,43.0,183 / 243
Xin Zhao,42.9,126 / 168
Wukong,42.8,121 / 162
Gangplank,42.6,263 / 355
Master Yi,42.6,130 / 175
Darius,42.5,122 / 165
Brand,42.4,87 / 118
Nasus,42.4,81 / 110
Swain,42.1,67 / 92
Gnar,41.9,113 / 157
Jayce,41.4,128 / 181
Teemo,40.2,39 / 58
Shyvana,40.1,77 / 115
Shaco,39.8,53 / 80
Garen,39.8,33 / 50
Lux,39.7,56 / 85
Corki,39.0,30 / 47
Urgot,38.1,24 / 39
Renekton,35.6,133 / 241
