Role,Player name,Rank,Win rate(%),Wins / losses
Mid,BottleCaps,Platinum III - 67 LP,66.8,125 / 62
Top,DoinB,Platinum IV - 73 LP,65.5,127 / 67
Top,Dumbass,Platinum III - 27 LP,64.7,156 / 85
Support,Nymph,Platinum IV - 52 LP,63.8,113 / 64
Jungle,Superb,Platinum IV - 19 LP,63.7,79 / 45
Jungle,Jinxnator,Gold I - 76 LP,62.0,57 / 35
Mid,AlfredSmith,Platinum IV - 83 LP,61.6,133 / 83
Support,Straitéis,Platinum IV - 7 LP,61.4,89 / 56
Top,Moleman,Platinum IV - 1 LP,60.9,78 / 50
Top,Amouranth,Platinum IV - 66 LP,60.8,124 / 80
Top,HAHAHAHAHAHAXD,Platinum IV - 16 LP,60.3,129 / 85
Top,Metallkopf,Platinum IV - 48 LP,59.9,82 / 55
Support,JhinSuppNoTroll,Platinum IV - 15 LP,59.9,82 / 55
Top,Malakkar,Platinum IV - 15 LP,59.5,94 / 64
Jungle,TheWoods,Platinum IV - 33 LP,59.4,111 / 76
Jungle,Luv Email,Platinum IV - 56 LP,59.3,89 / 61
Mid,Caps,Platinum III - 23 LP,58.9,129 / 90
Jungle,jekedeke,Platinum IV - 3 LP,58.5,96 / 68
ADC,TES Jackeylove,Gold I - 87 LP,58.5,76 / 54
Support,Hisher,Gold I - 78 LP,58.2,107 / 77
Support,Kutcher,Platinum IV - 42 LP,57.9,110 / 80
Support,owl city,Platinum IV - 35 LP,57.5,127 / 94
Top,L.Leg of Cauw,Gold I - 85 LP,57.2,87 / 65
Mid,Galio,Gold I - 65 LP,57.0,81 / 61
Support,RNG Ming,Platinum IV - 56 LP,56.9,116 / 88
Top,thegamingzebra,Platinum IV - 23 LP,56.7,97 / 74
Top,SUPER TOP,Platinum IV - 59 LP,56.5,135 / 104
Top,xxaznpuppy32xx,Platinum IV - 10 LP,56.5,131 / 101
Top,Tierney,Gold I - 84 LP,56.5,78 / 60
Top,Copyright,Gold I - 87 LP,56.4,110 / 85
Mid,Phantom,Gold I - 51 LP,56.4,79 / 61
ADC,lilcutiepaipee,Platinum IV - 23 LP,56.3,117 / 91
Jungle,110110010011,Gold I - 54 LP,56.3,76 / 59
ADC,Pokimane,Platinum IV - 11 LP,56.0,112 / 88
Support,Rookie,Platinum IV - 75 LP,55.9,118 / 93
Mid,Tap,Platinum IV - 41 LP,55.9,109 / 86
Top,SS Flandre,Platinum IV - 38 LP,55.9,109 / 86
Top,MrBochka,Platinum IV - 33 LP,55.9,118 / 93
Jungle,Layla,Gold I - 63 LP,55.9,85 / 67
