Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Test2,Diamond I - 40 LP,65.1,84 / 45
#2,Top,Salsa,Diamond I - 31 LP,62.5,172 / 103
#3,Top,Raleigh Obelisk,Diamond I - 26 LP,65.0,106 / 57
#4,ADC,T1 T1,Diamond I - 17 LP,58.3,137 / 98
#5,Jungle,Zevton,Diamond I - 7 LP,63.3,100 / 58
#6,Jungle,Poppey,Diamond I - 3 LP,65.4,136 / 72
#7,Top,xxaznpuppy32xx,Diamond II - 93 LP,62.4,118 / 71
#8,Jungle,Xyras,Diamond II - 77 LP,59.9,139 / 93
#9,Mid,PepeCool,Diamond II - 62 LP,57.4,163 / 121
#10,Jungle,time,Diamond II - 60 LP,60.6,140 / 91
#11,Top,Amouranth,Diamond II - 59 LP,59.2,151 / 104
#12,Top,Pepega,Diamond II - 55 LP,59.4,120 / 82
#13,Jungle,HLE Viper,Diamond II - 44 LP,62.9,100 / 59
#14,ADC,fulltag,Diamond II - 41 LP,59.7,126 / 85
#15,Support,ye,Diamond II - 33 LP,57.0,135 / 102
#16,Support,Soundboard,Diamond II - 17 LP,57.9,147 / 107
#17,Jungle,Blaze,Diamond II - 17 LP,55.1,140 / 114
#18,Top,AJDG Light,Diamond II - 15 LP,56.6,150 / 115
#19,Mid,Mid,Diamond III - 94 LP,59.1,156 / 108
#20,Top,Ben Dover,Diamond III - 93 LP,61.5,123 / 77
#21,Jungle,Superb,Diamond III - 91 LP,62.2,115 / 70
#22,Mid,WoO0oW,Diamond III - 89 LP,60.1,163 / 108
#23,Support,Kapp Wampie,Diamond III - 88 LP,58.3,126 / 90
#24,Jungle,Pyosik,Diamond III - 88 LP,61.2,112 / 71
#25,Top,Jonathan Joestar,Diamond III - 75 LP,55.3,152 / 123
#26,Jungle,MexicanPidgeon,Diamond III - 73 LP,58.4,139 / 99
#27,ADC,PvM,Diamond III - 73 LP,57.3,138 / 103
#28,Jungle,Jinxnator,Diamond III - 71 LP,59.0,118 / 82
#29,Support,Aqua,Diamond III - 70 LP,56.0,112 / 88
#30,ADC,Pokimane,Diamond III - 61 LP,57.1,157 / 118
#31,ADC,XBOCT,Diamond III - 57 LP,55.6,154 / 123
#32,Mid,Seirilyvia,Diamond III - 52 LP,55.4,149 / 120
#33,ADC,Sinon,Diamond III - 46 LP,56.3,151 / 117
#34,ADC,ADCarry,Diamond III - 45 LP,58.6,136 / 96
#35,Support,Mastermind,Diamond III - 41 LP,56.6,141 / 108
#36,Jungle,YokoOno,Diamond III - 33 LP,56.6,145 / 111
#37,ADC,CoolBroDenis,Diamond III - 33 LP,59.2,142 / 98
#38,Top,Randomsmeker1234,Diamond III - 28 LP,60.6,146 / 95
#39,Support,Emwues24,Diamond III - 28 LP,58.1,150 / 108
#40,Support,Senzawa,Diamond III - 27 LP,55.1,135 / 110
#41,Support,Deontic,Diamond III - 26 LP,57.9,158 / 115
#42,Jungle,Hidden,Diamond III - 25 LP,56.1,143 / 112
#43,Top,RNG Letme,Diamond III - 23 LP,60.1,131 / 87
#44,Mid,MidBot,Diamond III - 18 LP,56.6,142 / 109
#45,Support,SuppBot,Diamond III - 17 LP,56.4,128 / 99
#46,ADC,Leopan,Diamond III - 17 LP,59.5,135 / 92
#47,Jungle,jeffthelizard,Diamond III - 16 LP,60.9,134 / 86
#48,Mid,Slimsnoker,Diamond III - 14 LP,56.1,147 / 115
#49,Top,NoImpact,Diamond III - 13 LP,55.3,83 / 67
#50,Mid,TES knight9,Diamond III - 10 LP,55.1,158 / 129
#51,Top,Always Splits,Diamond III - 9 LP,56.8,138 / 105
#52,ADC,Test4,Diamond III - 9 LP,57.7,162 / 119
#53,Jungle,SpiderLilyAI,Diamond III - 8 LP,57.9,135 / 98
#54,Jungle,EG Voutocu,Diamond III - 7 LP,56.2,127 / 99
#55,Support,Monkey Mokney,Diamond III - 6 LP,55.9,133 / 105
#56,ADC,Kadlin,Diamond III - 4 LP,56.4,158 / 122
#57,Support,Hisher,Diamond III - 3 LP,54.6,131 / 109
#58,Support,Duckling,Diamond III - 3 LP,59.4,148 / 101
#59,Mid,BOOCAUWMOO,Diamond III - 3 LP,58.4,157 / 112
#60,ADC,Vahvel,Diamond III - 1 LP,52.4,130 / 118
#61,Support,Keria,Diamond III - 1 LP,55.3,140 / 113
#62,Jungle,woope,Diamond IV - 98 LP,56.1,160 / 125
#63,Mid,BottleCaps,Diamond IV - 98 LP,54.9,129 / 106
#64,Top,Fran5,Diamond IV - 91 LP,53.5,153 / 133
#65,ADC,DoubleDouble,Diamond IV - 91 LP,53.9,137 / 117
#66,Jungle,EnzoLeCoco,Diamond IV - 89 LP,55.6,144 / 115
#67,ADC,Bacon,Diamond IV - 88 LP,57.3,161 / 120
#68,Mid,Arteros,Diamond IV - 87 LP,58.0,130 / 94
#69,Jungle,Garrosh,Diamond IV - 87 LP,55.9,127 / 100
#70,Top,MJay,Diamond IV - 86 LP,59.2,135 / 93
#71,ADC,4,Diamond IV - 86 LP,54.5,144 / 120
#72,Jungle,PepeHands,Diamond IV - 85 LP,56.9,153 / 116
#73,Top,Test1,Diamond IV - 84 LP,55.6,149 / 119
#74,Top,Punchaubuns,Diamond IV - 83 LP,58.7,135 / 95
#75,Top,DoinB,Diamond IV - 83 LP,57.2,147 / 110
#76,Support,KuroKy,Diamond IV - 82 LP,57.3,157 / 117
#77,Top,TopBot,Diamond IV - 80 LP,54.5,140 / 117
#78,Top,DRX Deft,Diamond IV - 77 LP,57.5,127 / 94
#79,Support,Jodini the GREAT,Diamond IV - 76 LP,55.3,136 / 110
#80,Support,Alder88,Diamond IV - 74 LP,54.8,138 / 114
#81,Jungle,Bibi,Diamond IV - 73 LP,57.5,92 / 68
#82,Support,Nite,Diamond IV - 70 LP,56.5,160 / 123
#83,ADC,Rio Sonogami,Diamond IV - 69 LP,57.9,128 / 93
#84,ADC,RNG Uzi,Diamond IV - 69 LP,54.2,150 / 127
#85,ADC,RightLick2Win,Diamond IV - 68 LP,57.9,140 / 102
#86,Mid,Neekolul,Diamond IV - 68 LP,56.2,149 / 116
#87,ADC,Adc,Diamond IV - 67 LP,54.9,129 / 106
#88,Mid,NULL,Diamond IV - 65 LP,54.7,141 / 117
#89,ADC,Japan,Diamond IV - 64 LP,56.3,153 / 119
#90,ADC,Rikish,Diamond IV - 61 LP,49.8,122 / 123
#91,Top,Doran,Diamond IV - 61 LP,56.2,131 / 102
#92,Support,Nightlight,Diamond IV - 57 LP,55.7,128 / 102
#93,Jungle,2,Diamond IV - 56 LP,57.4,143 / 106
#94,Mid,100 Soligo,Diamond IV - 53 LP,53.0,143 / 127
#95,Mid,Men in I3lack,Diamond IV - 52 LP,54.1,146 / 124
#96,Support,flaree,Diamond IV - 51 LP,54.7,152 / 126
#97,Mid,Midlaner,Diamond IV - 50 LP,58.8,147 / 103
#98,Top,Aryze,Diamond IV - 50 LP,58.4,129 / 92
#99,Mid,Hjornet 7,Diamond IV - 49 LP,55.8,163 / 129
#100,Top,R0ck,Diamond IV - 48 LP,55.7,137 / 109
