Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,Pyosik,Challenger - 361 LP,62.4,532 / 321,TheStriker9
#2,ADC,Deft,Challenger - 301 LP,62.2,404 / 246,TheStriker9
#3,Support,Aqua,Challenger - 265 LP,67.2,309 / 151,Trindor
#4,ADC,T1 T1,Challenger - 151 LP,64.0,349 / 196,Soraka
#5,Mid,Gezar,Challenger - 109 LP,57.9,323 / 235,Kai
#6,Support,Jao,Challenger - 104 LP,51.9,374 / 347,YoloMedic
#7,Top,xxaznpuppy32xx,Challenger - 85 LP,54.6,500 / 415,GamerGirls
#8,Jungle,Poppey,Challenger - 84 LP,56.6,550 / 421,NAVI
#9,Top,DRX Deft,Challenger - 65 LP,53.1,292 / 258,Tokyo Smurfer
#10,Mid,BOOCAUWMOO,Challenger - 64 LP,54.3,443 / 373,BooCauwMoo
#11,ADC,cryhard,Challenger - 59 LP,55.5,291 / 233,roysiggi
#12,Support,Trick789,Challenger - 31 LP,55.4,277 / 223,Landmeeuw
#13,Mid,Foxy,Challenger - 26 LP,54.9,381 / 313,Foxy
#14,Top,迈特晒,Challenger - 20 LP,52.5,384 / 347,sayluca
#15,Mid,Seirilyvia,Challenger - 15 LP,48.9,340 / 355,Kythaela
#16,Support,Egirl champs onl,Challenger - 11 LP,55.5,461 / 370,Spooky
#17,Support,Tratz,Challenger - 7 LP,52.3,333 / 304,Tangil
#18,Mid,Frimmy23,Challenger - 6 LP,58.8,648 / 454,YoloMedic
#19,Top,Zuko,Challenger - 1 LP,53.7,388 / 334,Lior
#20,Mid,Arteros,Diamond I - 96 LP,53.0,437 / 387,Anbeeld
#21,Mid,Giorno Giovanna,Diamond I - 94 LP,56.9,365 / 277,Ithirul
#22,Top,AshenOne,Diamond I - 93 LP,53.6,313 / 271,Fells
#23,Jungle,time,Diamond I - 92 LP,52.6,308 / 278,schlafen
#24,Jungle,GG Bekhali,Diamond I - 84 LP,52.7,252 / 226,Mac
#25,Top,Jodko,Diamond I - 81 LP,52.1,358 / 329,Jinxnator
#26,Support,Kutcher,Diamond I - 81 LP,53.9,384 / 328,Terra
#27,Top,Destructoid,Diamond I - 76 LP,51.3,405 / 385,YoloMedic
#28,Support,Hisher,Diamond I - 75 LP,60.1,185 / 123,polop900
#29,Mid,Byumbert,Diamond I - 74 LP,51.1,310 / 297,Byumbi
#30,Jungle,Topener,Diamond I - 69 LP,49.5,329 / 336,Byumbi
#31,Jungle,Gnima,Diamond I - 67 LP,53.0,396 / 351,YoloMedic
#32,Top,RNG Letme,Diamond I - 66 LP,52.8,391 / 350,LPLAhri
#33,Mid,creative mind,Diamond I - 60 LP,51.4,270 / 255,cabula
#34,ADC,Goblin,Diamond I - 58 LP,51.7,289 / 270,Ghacobe
#35,ADC,mind,Diamond I - 54 LP,52.5,370 / 335,schlafen
#36,Top,MJay,Diamond I - 50 LP,51.3,244 / 232,Tangil
#37,Mid,Frethborn,Diamond I - 48 LP,50.3,312 / 308,Jinxnator
#38,Mid,Flame,Diamond I - 47 LP,51.6,323 / 303,Hit_Critical
#39,Support,GeT OutFlayed,Diamond I - 47 LP,49.9,225 / 226,Mac
#40,Mid,Salt,Diamond I - 47 LP,52.4,334 / 303,JMENDOZA
#41,Support,FPX Crisp,Diamond I - 45 LP,50.2,334 / 331,LPLAhri
#42,Top,Punchaubuns,Diamond I - 43 LP,51.9,297 / 275,LumiFumi
#43,Support,Anbeeld,Diamond I - 39 LP,56.5,488 / 376,Anbeeld
#44,Jungle,Ceasarna,Diamond I - 36 LP,52.8,390 / 348,iampvm
#45,Jungle,Zevton,Diamond I - 35 LP,53.0,340 / 302,polop900
#46,Jungle,DanDy,Diamond I - 35 LP,49.3,278 / 286,minimike97
#47,Jungle,MexicanPidgeon,Diamond I - 34 LP,51.0,348 / 334,LumiFumi
#48,Top,Dumbass,Diamond I - 34 LP,50.6,359 / 351,Key
#49,Mid,violator,Diamond I - 33 LP,53.7,373 / 322,sanchesmemo
#50,ADC,Jotaro Kujo,Diamond I - 30 LP,54.6,442 / 368,Ithirul
#51,Mid,MidBot,Diamond I - 30 LP,51.9,392 / 364,TangilBOT
#52,ADC,Vahvel,Diamond I - 30 LP,53.9,260 / 222,sanchesmemo
#53,ADC,Sylmarae,Diamond I - 30 LP,54.3,439 / 369,Kythaela
#54,Jungle,Bibi,Diamond I - 28 LP,53.2,388 / 342,Troeton
#55,Top,Ezio,Diamond I - 27 LP,51.4,336 / 318,TexeQ
#56,ADC,Boop,Diamond I - 26 LP,48.8,278 / 292,Foxxo
#57,Top,Kritz,Diamond I - 26 LP,48.5,284 / 301,polop900
#58,ADC,Reign,Diamond I - 25 LP,51.4,392 / 370,ephemeral
#59,Jungle,Zwijaczloli,Diamond I - 25 LP,50.5,247 / 242,NoszczaKrul
#60,Support,PepeLove,Diamond I - 24 LP,51.3,342 / 325,LS
#61,Mid,cblol00003,Diamond I - 24 LP,49.1,257 / 266,cblol
#62,Support,SEXY TAHM,Diamond I - 23 LP,50.4,276 / 272,HailOfBladesTahm
