Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,ADC,Rabbit4,Challenger - 291 LP,60.7,447 / 289,willchungtester
#2,Support,HelpingX,Challenger - 256 LP,61.3,504 / 318,Felixxx
#3,Jungle,Stupid Jungler,Challenger - 205 LP,62.9,579 / 342,PooPooPeePee
#4,Jungle,tarzaned,Challenger - 159 LP,60.7,609 / 395,Tyler1
#5,Top,Scarra,Challenger - 123 LP,63.1,567 / 331,OfflineTV
#6,Support,Eclipsed,Challenger - 92 LP,56.3,768 / 597,cmoney847
#7,Jungle,Aela ,Challenger - 81 LP,58.7,599 / 421,MolscarZX
#8,Jungle,Canyon,Challenger - 81 LP,59.5,600 / 409,YamatoCannon
#9,Top,DoinB,Challenger - 59 LP,58.4,672 / 479,LordArtos
#10,Support,unicornpetpetuwu,Challenger - 59 LP,59.3,419 / 287,GamerGirls
#11,ADC,lumbago,Challenger - 51 LP,52.6,520 / 469,debauchery
#12,Jungle,AttSeeker,Challenger - 51 LP,59.0,742 / 515,PaxVan
#13,ADC,Rem-chan,Challenger - 50 LP,56.1,602 / 471,Kuurys
#14,Jungle,Freja,Challenger - 48 LP,58.6,746 / 527,ornstein123
#15,Jungle,Nunu V2,Challenger - 46 LP,59.0,821 / 570,willchung1024
#16,Jungle,SmelliElli,Challenger - 43 LP,58.3,636 / 455,bigjon
#17,Jungle,Kaltch,Challenger - 42 LP,61.1,496 / 316,Princess
#18,Mid,0/10 yasuo,Challenger - 41 LP,54.1,753 / 639,aquietghost
#19,Top,SheIsLegal,Challenger - 39 LP,56.0,712 / 560,PaxVan
#20,Jungle,Prophet,Challenger - 38 LP,58.0,736 / 534,Four
#21,Top,GuppyMilk,Challenger - 33 LP,57.8,639 / 467,gespenst
#22,Support,DieFliegendeKuh,Challenger - 31 LP,53.8,764 / 657,doofboy13
#23,Jungle,Clid 2.0,Challenger - 25 LP,55.7,633 / 503,Coach_Kim
#24,Top,KSet,Challenger - 21 LP,55.2,642 / 521,CJackz
#25,Top,WoodenInternet,Challenger - 17 LP,55.1,654 / 532,TheShruik2
