Rank number,Role,Player name,Rank,Win rate(%),Wins / losses,Coach
#1,Jungle,tarzaned,Challenger - 1165 LP,65.0,379 / 204,Tyler1
#2,Jungle,DanDyx,Challenger - 1146 LP,71.7,579 / 228,Choi
#3,ADC,Impx,Challenger - 1035 LP,63.5,665 / 383,Choi
#4,Support,HelpingX,Challenger - 799 LP,61.3,623 / 394,Felixxx
#5,Mid,PawNx,Challenger - 696 LP,61.8,562 / 348,Choi
#6,Mid,Etosh,Challenger - 639 LP,58.0,539 / 391,Etosh
#7,Jungle,Aela ,Challenger - 633 LP,58.0,705 / 510,MolscarZX
#8,Jungle,AttSeeker,Challenger - 559 LP,59.0,537 / 373,PaxVan
#9,Mid,Jarl Mid,Challenger - 551 LP,59.2,549 / 378,Jarl
#10,Jungle,sandbox5,Challenger - 550 LP,57.2,569 / 426,
#11,Top,TopBot,Challenger - 543 LP,54.5,811 / 678,TangilBOT
#12,Jungle,junglekek,Challenger - 519 LP,54.8,546 / 451,redeemer
#13,Mid,Choky,Challenger - 518 LP,55.3,661 / 534,Key
#14,Jungle,Shitfeather,Challenger - 508 LP,60.7,541 / 351,hiroli
#15,Support,Keria,Challenger - 503 LP,54.2,685 / 579,TheStriker9
#16,Jungle,Wakes,Challenger - 481 LP,58.4,1040 / 740,alim
#17,Support,SupBot,Challenger - 479 LP,55.1,779 / 635,TangilBOT
#18,Top,Dumbass,Challenger - 478 LP,52.8,808 / 722,Key
#19,Support,unicornpetpetuwu,Challenger - 473 LP,54.8,725 / 598,GamerGirls
#20,Top,Ooga,Challenger - 450 LP,58.0,671 / 485,Poggersnation
#21,Support,Wilde,Challenger - 442 LP,54.6,816 / 678,Wealth_and_Taste
#22,Support,Rookie,Challenger - 439 LP,56.2,582 / 454,LordArtos
#23,Top,Salsa,Challenger - 438 LP,52.7,975 / 876,YungYiga
#24,Top,Craq,Challenger - 435 LP,54.1,1958 / 1659,moxir
#25,Jungle,Stupid Jungler,Challenger - 414 LP,61.2,602 / 382,PooPooPeePee
#26,Mid,LeSnek,Challenger - 395 LP,54.0,669 / 569,LS
#27,Mid,Chovy,Challenger - 395 LP,55.8,657 / 520,TheStriker9
#28,ADC,Ree-ason,Challenger - 393 LP,53.8,764 / 657,hmphree
#29,Mid,The_Ghost16,Challenger - 389 LP,56.1,527 / 413,Sb1
