Role,Player name,Rank,Win rate(%),Wins / losses
Mid,BottleCaps,Platinum II - 22 LP,67.5,135 / 65
Top,DoinB,Platinum IV - 70 LP,64.9,133 / 72
Jungle,Kong,Platinum IV - 15 LP,64.8,59 / 32
Top,Dumbass,Platinum III - 39 LP,64.3,164 / 91
Support,Nymph,Platinum IV - 68 LP,63.8,120 / 68
Jungle,Jinxnator,Platinum IV - 31 LP,63.6,68 / 39
Jungle,Superb,Platinum IV - 27 LP,63.0,85 / 50
Top,Amouranth,Platinum III - 17 LP,61.6,135 / 84
Support,Straitéis,Platinum IV - 26 LP,61.6,98 / 61
Top,Moleman,Platinum IV - 37 LP,61.4,86 / 54
Mid,AlfredSmith,Platinum IV - 58 LP,60.8,141 / 91
Support,Kapp Wampie,Platinum IV - 33 LP,60.4,61 / 40
Top,HAHAHAHAHAHAXD,Platinum IV - 52 LP,60.2,136 / 90
Top,Metallkopf,Platinum IV - 64 LP,59.9,91 / 61
Jungle,TheWoods,Platinum IV - 58 LP,59.9,118 / 79
Support,JhinSuppNoTroll,Platinum IV - 39 LP,59.5,94 / 64
Support,Kutcher,Platinum IV - 83 LP,58.8,117 / 82
Top,Malakkar,Platinum IV - 5 LP,58.8,97 / 68
Mid,Caps,Platinum III - 9 LP,58.6,133 / 94
ADC,TES Jackeylove,Gold I - 95 LP,58.0,80 / 58
Top,xxaznpuppy32xx,Platinum IV - 78 LP,57.7,143 / 105
Jungle,jekedeke,Platinum IV - 23 LP,57.6,99 / 73
Support,Hisher,Platinum IV - 5 LP,57.6,118 / 87
Jungle,Luv Email,Platinum IV - 22 LP,57.4,97 / 72
Top,Tierney,Platinum IV - 34 LP,57.3,86 / 64
Mid,Tap,Platinum III - 14 LP,57.2,119 / 89
Mid,Galio,Platinum IV - 25 LP,57.1,92 / 69
Support,RNG Ming,Platinum IV - 31 LP,56.7,123 / 94
Support,Rookie,Platinum III - 0 LP,56.6,128 / 98
Jungle,110110010011,Platinum IV - 22 LP,56.4,88 / 68
Top,MrBochka,Platinum IV - 49 LP,56.3,125 / 97
Jungle,Exemplar,Platinum IV - 48 LP,56.3,99 / 77
Top,SS Flandre,Platinum IV - 42 LP,56.3,120 / 93
Top,thegamingzebra,Platinum IV - 0 LP,56.2,100 / 78
Mid,Phantom,Gold I - 83 LP,56.2,86 / 67
ADC,lilcutiepaipee,Platinum IV - 13 LP,56.1,128 / 100
Top,Copyright,Gold I - 90 LP,55.8,116 / 92
Top,MJay,Platinum IV - 70 LP,55.6,119 / 95
ADC,F,Platinum IV - 65 LP,55.6,138 / 110
Top,SUPER TOP,Platinum IV - 9 LP,55.6,140 / 112
Support,Redman,Platinum IV - 50 LP,55.5,142 / 114
Top,Raleigh Obelisk,Platinum III - 26 LP,55.3,119 / 96
Top,Smug Egirl Owo,Platinum IV - 61 LP,55.3,125 / 101
Top,TDA Brokenrelic,Platinum IV - 76 LP,55.2,117 / 95
Jungle,Sparrow,Platinum IV - 31 LP,55.2,122 / 99
Support,AnosVold,Gold I - 81 LP,55.1,92 / 75
ADC,RNG Uzi,Platinum IV - 43 LP,55.0,116 / 95
Jungle,funnel is dead,Platinum IV - 16 LP,55.0,111 / 91
Mid,WoO0oW,Platinum IV - 81 LP,54.8,120 / 99
Mid,creative mind,Gold I - 97 LP,54.7,129 / 107
Top,Agent Boris,Platinum IV - 52 LP,54.5,120 / 100
Top,Darkness,Platinum IV - 86 LP,54.4,105 / 88
ADC,Boop,Platinum IV - 37 LP,54.3,100 / 84
Top,Randomsmeker1234,Platinum IV - 7 LP,54.1,120 / 102
ADC,A bootiful perso,Gold I - 97 LP,54.1,106 / 90
ADC,T1 T1,Gold I - 96 LP,54.1,125 / 106
ADC,PvM,Platinum IV - 89 LP,54.0,109 / 93
ADC,Rikish,Platinum IV - 15 LP,53.8,120 / 103
Mid,Arteros,Platinum IV - 11 LP,53.8,113 / 97
Jungle,EG Voutocu,Platinum IV - 45 LP,53.4,119 / 104
ADC,Kogglemoggle,Platinum IV - 6 LP,52.9,128 / 114
Jungle,L.Arm of Cauw,Gold I - 99 LP,52.8,93 / 83
Jungle,Neferpitou,Platinum IV - 3 LP,52.7,116 / 104
Top,TheBausSpecial,Gold I - 91 LP,52.7,119 / 107
Top,Pepega,Platinum IV - 39 LP,52.6,90 / 81
Mid,DOINB RYZE HACK,Platinum IV - 5 LP,52.6,110 / 99
Support,Xpecial,Platinum IV - 32 LP,52.4,111 / 101
ADC,No CS,Gold I - 86 LP,52.2,117 / 107
Support,TDA Bloxx,Platinum IV - 57 LP,52.1,123 / 113
Mid,whygar player,Gold I - 91 LP,51.9,108 / 100
Jungle,TDA Plankuaa,Gold I - 99 LP,51.6,113 / 106
Mid,IG Rookie,Gold I - 90 LP,51.6,127 / 119
Top,SmackyB,Platinum IV - 7 LP,51.5,122 / 115
Jungle,420~truaznkity,Platinum IV - 4 LP,51.3,119 / 113
Jungle,IG Ning,Platinum IV - 15 LP,50.9,115 / 111
Top,Kritz,Platinum IV - 28 LP,50.8,98 / 95
ADC,Perkz,Gold I - 98 LP,50.8,125 / 121
Jungle,Poppey,Gold I - 85 LP,50.8,93 / 90
Support,healslut,Platinum IV - 9 LP,50.7,110 / 107
ADC,cryhard,Gold I - 83 LP,50.7,109 / 106
Jungle,LIL PUMP ESKETIT,Platinum IV - 0 LP,50.6,122 / 119
Jungle,Kasanova,Platinum IV - 17 LP,50.4,114 / 112
ADC,TheLegend,Platinum IV - 2 LP,50.3,91 / 90
Mid,IG Wh1t3zZ,Gold I - 87 LP,50.2,128 / 127
Mid,NULL,Gold I - 82 LP,50.2,115 / 114
Jungle,EDG Clearlove7,Platinum IV - 23 LP,50.0,118 / 118
Mid,Bjergsen,Platinum IV - 8 LP,50.0,89 / 89
Support,PepeLove,Gold I - 96 LP,49.7,85 / 86
ADC,XBOCT,Gold I - 82 LP,49.5,93 / 95
ADC,IG Puff ,Platinum IV - 12 LP,49.3,112 / 115
Support,JANNA PLAYER :3,Platinum IV - 11 LP,49.3,101 / 104
Jungle,Kazuma,Platinum IV - 31 LP,48.9,92 / 96
ADC,TPOPIS,Platinum IV - 20 LP,48.9,112 / 117
ADC,saucegqy,Gold I - 89 LP,48.9,86 / 90
Support,Rashid,Gold I - 87 LP,48.9,114 / 119
Jungle,TarzanFaker,Platinum IV - 9 LP,48.8,106 / 111
Top,Sioux,Platinum IV - 25 LP,48.5,111 / 118
Support,d0gg0,Platinum IV - 20 LP,48.0,107 / 116
Mid,Hjornet 7,Gold I - 89 LP,47.2,91 / 102
Mid,Byumbert,Platinum IV - 4 LP,46.9,120 / 136
