Role,Player name,Rank,Win rate(%),Wins / losses
Jungle,Jinxnator,Platinum II - 18 LP,64.6,133 / 73
Support,worsesupp,Platinum III - 14 LP,64.2,102 / 57
Mid,BottleCaps,Platinum III - 6 LP,62.6,204 / 122
Jungle,Superb,Platinum III - 39 LP,62.4,146 / 88
Support,Straitéis,Platinum III - 44 LP,61.8,155 / 96
Jungle,Hidden,Platinum IV - 66 LP,61.5,72 / 45
Top,Dumbass,Platinum IV - 77 LP,60.8,233 / 150
Top,Moleman,Platinum IV - 67 LP,60.1,149 / 99
Top,Amouranth,Platinum IV - 88 LP,59.8,204 / 137
Jungle,jekedeke,Platinum III - 28 LP,59.3,166 / 114
Support,JhinSuppNoTroll,Platinum III - 29 LP,59.1,159 / 110
Mid,Caps,Platinum III - 4 LP,58.8,201 / 141
Top,Raleigh Obelisk,Platinum I - 55 LP,58.7,193 / 136
Top,thegamingzebra,Platinum III - 18 LP,58.6,170 / 120
Top,xxaznpuppy32xx,Platinum III - 76 LP,58.3,200 / 143
Jungle,Kong,Platinum IV - 70 LP,58.3,116 / 83
ADC,TES Jackeylove,Platinum III - 21 LP,58.2,146 / 105
Top,Copyright,Platinum IV - 98 LP,58.0,178 / 129
Jungle,Never Ganks,Platinum III - 34 LP,57.9,176 / 128
Jungle,Sparrow,Platinum III - 51 LP,57.7,188 / 138
Support,Plays Rengar Sup,Platinum III - 79 LP,57.4,175 / 130
Mid,Tap,Platinum III - 41 LP,57.4,178 / 132
Jungle,Wrath,Platinum II - 41 LP,57.2,147 / 110
Jungle,Poppey,Platinum II - 40 LP,57.2,154 / 115
Top,Metallkopf,Platinum IV - 70 LP,57.0,147 / 111
Top,Agent Boris,Platinum III - 48 LP,56.9,182 / 138
Jungle,ibims1long,Platinum III - 36 LP,56.8,130 / 99
ADC,BotBot,Platinum IV - 96 LP,56.7,136 / 104
ADC,Let me 1vs9,Platinum IV - 78 LP,56.7,114 / 87
Mid,creative mind,Platinum III - 84 LP,56.4,193 / 149
Top,MJay,Platinum III - 12 LP,56.4,180 / 139
Support,Aqua,Platinum III - 82 LP,56.0,181 / 142
Top,Randomsmeker1234,Platinum IV - 73 LP,55.9,184 / 145
Support,Rookie,Platinum IV - 82 LP,55.7,180 / 143
Top,RNG Letme,Platinum III - 37 LP,55.4,158 / 127
ADC,PvM,Platinum III - 11 LP,55.2,169 / 137
ADC,T1 T1,Platinum III - 38 LP,55.0,182 / 149
Top,Top,Platinum III - 39 LP,54.9,128 / 105
ADC,sola,Platinum II - 27 LP,54.8,167 / 138
Support,Xpecial,Platinum III - 83 LP,54.6,171 / 142
Top,TheBausSpecial,Platinum IV - 86 LP,54.6,183 / 152
Jungle,Exemplar,Platinum IV - 68 LP,54.6,142 / 118
Top,Malakkar,Platinum IV - 66 LP,54.6,147 / 122
Mid,NULL,Platinum III - 46 LP,54.3,183 / 154
Mid,Renners,Platinum IV - 92 LP,54.3,150 / 126
Mid,DOINB RYZE HACK,Platinum IV - 94 LP,54.0,175 / 149
Top,TDA Brokenrelic,Platinum IV - 85 LP,53.5,178 / 155
Support,GeT OutFlayed,Platinum IV - 72 LP,53.2,176 / 155
Support,d0gg0,Platinum II - 12 LP,53.1,170 / 150
Jungle,TarzanFaker,Platinum III - 29 LP,53.0,174 / 154
Mid,BOOCAUWMOO,Platinum III - 9 LP,53.0,157 / 139
Top,Titan,Platinum III - 4 LP,53.0,133 / 118
Support,Tiriana,Platinum III - 24 LP,52.8,85 / 76
Mid,Jomeil,Platinum IV - 66 LP,52.4,172 / 156
ADC,Perkz,Platinum III - 10 LP,52.3,181 / 165
Jungle,Hugan,Platinum IV - 67 LP,52.3,150 / 137
Jungle,PepeHands,Platinum III - 1 LP,52.2,153 / 140
ADC,Sylmarae,Platinum IV - 71 LP,52.2,82 / 75
Support,225,Platinum III - 7 LP,51.9,168 / 156
Support,healslut,Platinum IV - 85 LP,51.9,168 / 156
ADC,B0n Ivern,Platinum IV - 71 LP,51.9,150 / 139
Top,give me life,Platinum IV - 87 LP,51.8,175 / 163
Jungle,time,Platinum IV - 96 LP,51.4,144 / 136
ADC,Uma Jan monkaS,Platinum III - 2 LP,51.3,162 / 154
Mid,Bye Bye Driver,Platinum IV - 91 LP,51.3,136 / 129
ADC,Klojjr,Platinum IV - 87 LP,51.3,136 / 129
Support,Support and AFk,Platinum III - 21 LP,51.2,105 / 100
Jungle,A Spooky person,Platinum IV - 74 LP,50.9,173 / 167
Top,Jabron,Platinum IV - 78 LP,50.7,154 / 150
Top,crum,Platinum IV - 81 LP,50.6,132 / 129
Support,JANNA PLAYER :3,Platinum III - 60 LP,50.5,151 / 148
Mid,Omni,Platinum III - 2 LP,50.5,98 / 96
ADC,TDA Xencry,Platinum IV - 78 LP,50.5,161 / 158
Jungle,Zevton,Platinum III - 63 LP,50.3,166 / 164
Mid,mid gap,Platinum III - 12 LP,50.3,148 / 146
Mid,Hjornet 7,Platinum IV - 83 LP,50.3,147 / 145
Support,unicornpetpetuwu,Platinum III - 65 LP,50.2,161 / 160
Support,SuppBot,Platinum IV - 81 LP,50.0,113 / 113
Mid,Zero Mechanics,Platinum IV - 68 LP,50.0,138 / 138
Mid,IG Wh1t3zZ,Platinum IV - 81 LP,49.5,185 / 189
Jungle,Exfiltrate,Platinum IV - 93 LP,49.4,167 / 171
ADC,cryhard,Platinum IV - 78 LP,49.2,157 / 162
Support,Deontic,Platinum IV - 68 LP,49.2,160 / 165
Jungle,tarzaned,Platinum III - 30 LP,49.1,159 / 165
Top,Leonidas,Platinum III - 18 LP,49.1,155 / 161
Jungle,Dr4gg4r,Platinum IV - 82 LP,48.7,146 / 154
Mid,Simonze,Platinum IV - 87 LP,48.5,161 / 171
Support,Duckling,Platinum IV - 71 LP,48.3,142 / 152
ADC,Rigomi,Platinum IV - 78 LP,48.2,108 / 116
Top,Impact,Platinum IV - 67 LP,48.2,108 / 116
Top,shuiwen,Platinum IV - 71 LP,48.1,130 / 140
Jungle,Dopa,Platinum IV - 84 LP,47.8,161 / 176
Support,Suppy,Platinum IV - 94 LP,47.7,145 / 159
ADC,fulltag,Platinum IV - 80 LP,47.2,161 / 180
Jungle,BelleDelphine,Platinum IV - 83 LP,47.1,156 / 175
Top,circles,Platinum IV - 73 LP,47.0,149 / 168
Top,SpaXgamer,Platinum IV - 80 LP,46.4,109 / 126
Mid,AI Greyma,Platinum IV - 94 LP,45.8,135 / 160
Support,beaituul,Platinum III - 7 LP,45.4,138 / 166
Support,Anbeeld,Platinum IV - 76 LP,44.4,138 / 173
