Rank number,Role,Player name,Rank,Win rate(%),Wins / losses
#1,Jungle,Test2,Diamond III - 46 LP,72.7,24 / 9
#2,Support,Kapp Wampie,Diamond III - 22 LP,60.4,29 / 19
#3,Support,Aqua,Diamond IV - 68 LP,59.4,19 / 13
#4,Top,Raleigh Obelisk,Diamond IV - 42 LP,64.0,32 / 18
#5,Top,Pepega,Diamond IV - 38 LP,71.0,22 / 9
#6,Support,Senzawa,Diamond IV - 34 LP,63.6,21 / 12
#7,ADC,T1 T1,Diamond IV - 32 LP,55.8,29 / 23
#8,ADC,Pokimane,Platinum I - 99 LP,63.5,40 / 23
#9,Top,NoImpact,Platinum I - 93 LP,53.1,17 / 15
#10,Jungle,Bibi,Platinum I - 90 LP,62.9,22 / 13
#11,Jungle,YokoOno,Platinum I - 82 LP,67.3,33 / 16
#12,Mid,RunningDown,Platinum I - 78 LP,58.5,24 / 17
#13,Jungle,Superb,Platinum I - 71 LP,72.2,26 / 10
#14,Jungle,Zevton,Platinum I - 67 LP,73.9,17 / 6
#15,Support,SuppBot,Platinum I - 64 LP,67.5,27 / 13
#16,Jungle,HLE Viper,Platinum I - 57 LP,62.5,15 / 9
#17,Jungle,Better blame me,Platinum I - 55 LP,48.3,14 / 15
#18,Jungle,Pyosik,Platinum I - 53 LP,68.8,22 / 10
#19,Support,Soundboard,Platinum I - 46 LP,56.3,36 / 28
#20,ADC,XBOCT,Platinum I - 44 LP,58.2,32 / 23
#21,Mid,Galio,Platinum I - 43 LP,62.2,28 / 17
#22,Mid,Choky,Platinum I - 42 LP,60.5,26 / 17
#23,Jungle,EG Voutocu,Platinum I - 39 LP,56.8,21 / 16
#24,Support,Tiriana,Platinum I - 37 LP,57.1,24 / 18
#25,Mid,Men in I3lack,Platinum I - 37 LP,72.1,31 / 12
#26,Top,RNG Letme,Platinum I - 33 LP,61.2,30 / 19
#27,Mid,PepeCool,Platinum I - 32 LP,55.8,24 / 19
#28,Top,Destructoid,Platinum I - 28 LP,62.1,18 / 11
#29,Top,Test1,Platinum I - 24 LP,64.3,36 / 20
#30,ADC,Rio Sonogami,Platinum I - 23 LP,76.9,30 / 9
#31,ADC,4,Platinum I - 15 LP,55.6,25 / 20
#32,Jungle,Jinxnator,Platinum I - 13 LP,52.6,20 / 18
#33,ADC,DoubleDouble,Platinum I - 12 LP,53.7,22 / 19
#34,Top,Amouranth,Platinum I - 11 LP,62.8,27 / 16
#35,Support,Josuke Higashika,Platinum I - 8 LP,52.9,27 / 24
#36,Jungle,woope,Platinum I - 6 LP,57.5,23 / 17
#37,Mid,BOOCAUWMOO,Platinum I - 2 LP,66.0,35 / 18
#38,Mid,violator,Platinum I - 0 LP,51.9,28 / 26
#39,Mid,WoO0oW,Platinum II - 99 LP,66.7,38 / 19
#40,Support,flaree,Platinum II - 99 LP,62.2,28 / 17
#41,ADC,Thongchai,Platinum II - 94 LP,58.3,35 / 25
#42,Support,iEnygma,Platinum II - 94 LP,68.6,24 / 11
#43,Jungle,tarzaned,Platinum II - 91 LP,59.3,35 / 24
#44,Top,thegamingzebra,Platinum II - 90 LP,60.5,23 / 15
#45,Support,FPX Crisp,Platinum II - 89 LP,56.8,25 / 19
#46,Top,SmackyB,Platinum II - 81 LP,51.1,24 / 23
#47,Support,PepeLove,Platinum II - 77 LP,59.6,28 / 19
#48,Top,Red,Platinum II - 75 LP,61.7,29 / 18
#49,Jungle,MexicanPidgeon,Platinum II - 74 LP,61.1,22 / 14
#50,ADC,Sylmarae,Platinum II - 70 LP,54.5,30 / 25
#51,Support,Hisher,Platinum II - 69 LP,51.5,17 / 16
#52,Top,Washed up pro,Platinum II - 65 LP,57.5,23 / 17
#53,ADC,Alec,Platinum II - 65 LP,56.6,30 / 23
#54,Support,KuroKy,Platinum II - 59 LP,64.4,38 / 21
#55,Jungle,420~truaznkity,Platinum II - 59 LP,57.5,23 / 17
#56,Top,Always Splits,Platinum II - 55 LP,62.5,25 / 15
#57,Top,Top,Platinum II - 55 LP,61.5,24 / 15
#58,Mid,Mid,Platinum II - 55 LP,62.5,30 / 18
#59,Mid,Phantom,Platinum II - 54 LP,64.3,36 / 20
#60,ADC,Krono,Platinum II - 53 LP,61.5,24 / 15
#61,Mid,3,Platinum II - 53 LP,53.3,24 / 21
#62,Mid,BottleCaps,Platinum II - 51 LP,47.8,22 / 24
#63,Mid,Frimmy23,Platinum II - 51 LP,52.5,21 / 19
#64,Mid,MidBot,Platinum II - 51 LP,62.2,28 / 17
#65,Mid,Giorno Giovanna,Platinum II - 50 LP,69.4,25 / 11
#66,Support,worsesupp,Platinum II - 48 LP,62.2,28 / 17
#67,Top,xX5W4GM4573RXx,Platinum II - 48 LP,63.3,19 / 11
#68,Support,Kutcher,Platinum II - 47 LP,61.1,22 / 14
#69,Jungle,FilthyBrandMain,Platinum II - 47 LP,60.0,36 / 24
#70,Top,xxaznpuppy32xx,Platinum II - 46 LP,55.1,27 / 22
#71,ADC,Kali,Platinum II - 43 LP,69.2,27 / 12
#72,Support,Jodini the GREAT,Platinum II - 41 LP,55.8,24 / 19
#73,ADC,Test4,Platinum II - 40 LP,61.9,39 / 24
#74,Support,Straitéis,Platinum II - 38 LP,62.2,23 / 14
#75,Jungle,Kasanova,Platinum II - 38 LP,60.4,29 / 19
